v2_id,v1_id,name,address
1238,352,Poukham Thai Cuisine ( closed ),110 rue Eddy
1239,353,Pizza Test,123 rue Saint Pas-Vrais
1240,354,Istanbouli Shawarma House,81 Holland Ave
1241,355,Willy\'s Pizza (DROPPED),1315 Richmond Road
1242,356,Pizza Welat (DROPPED),2182 Marie-Victorin
1243,357,Lees Greek & Pizza,106 - 180 Lees Ave
1244,358,Greco on Bank,212 Bank St
1245,359,Pho Tien Phat (dropped),2133 Jane St
1246,360,Carlsbad Pizza (dropped),6500 Russell Rd
1247,361,Express Asian Food (Changed to A Plus sushi),202 Bank St
1248,362,2 for 1 Pizza,320 Bank St
1249,364,La Famiglia Pizza,1555 O\'Connor Dr
1250,365,Dana\'s Indian Cuisine,101 - 340 Queen St 
1251,366,Old Man Pizza (DROPPED) ,223 Jameson Ave. 
1252,367,Willy\'s Pizza,3023 Cedarview Rd
1253,368,Restaurant Da Gunes (DROPPED),"233, boul. St-Anne"
1254,369,Tandoori Raj (DROPPED),689 E65th Avenue 
1255,370,Pizza Crave (DROPPED),"244, 70 Shawville Blvd"
1256,,Ceylonta - Somerset,403 Somerset St W
1257,372,Bar Burrito Downtown (HOLD),176 Rideau St
1258,373,Ever Afters,319 Rideau St
1259,374,New Mukut Restaurant Indian Cuisine,1968 Portobello Blvd
1260,375,Pita Pizza plus Kebob King ( Replaced),291 Queen Mary St
1261,376,Bangkok Thai Garden,370 Dalhousie St
1262,,Pho by Night - Sweet Art,309 Dalhousie St
1263,,Angelo\'s,303 St-Patrick St
1264,379,Aunty Rosa (closed),"1025, boul du Seminaire N"
1265,380,Tassot Creole,"3005, boul Taschereau"
1266,383,Beneci Pizza,4 Lorry Greenberg Dr
1267,384,Stuffed Burgers & Pizza,912 St Laurent Blvd
1268,385,Pasta Tutti Giorni (dropped),
1269,386,Wontonmama (CLOSED),109 Clarence St
1270,387,Orchid Sushi,445 Laurier Ave W
1271,389,Pizzéria Parenteau PJ,"2630, rue Dessaulles"
1272,391,Restaurant Mario\'s,"157, rue Saint-Jacques"
1273,,Le Tandoor,"1555, boul Provencher"
1274,394,La Rumeur,"3140, ch de Chambly"
1275,395,Le palais des sous marins et pizza,"2860, rue de lyon"
1276,396,Milano,50 Main Street S
1277,,Hokkaido Sushi,272 Dalhousie St
1278,398,Pappas Souvlaki  (dropped),"380, Route 132, St-Constant Suite 220"
1279,399,Grand Tandoori (DROPPED),Grande Allee
1280,400,Basha La Prairie (Dropped),1016 Boulevard Taschereau
1281,401,Greek Express (DROPPED),3018 St Joseph Boulevard
1282,402,Forest Hill Pizza,868 Eglington Ave W.
1283,404,Pho Haven,2900 Woodroffe Ave
1284,405,3 for 1 Pizza (Closed),62 Main St
1285,406,Sushi Presse,"6497, rue Beaubien Est"
1286,407,Medina Fried Chicken,170 Lees Ave
1287,408,CasaLuna Pizza(quit),173 Hinchey Ave
1288,409,Pure Joy Sushi & Bubble Tea,2010 Trim Rd
1289,410,Milano Pizzeria (DROPPED),49 Raglan S
1290,411,Milano,2 Pembroke St ( Highway 17 )
1291,412,Ambala,600 Terry Fox Drive
1292,413,Lucky Fortune,1970 Trim Rd
1293,414,Le Ming Chuan (Dropped),"8200, boul tashereau"
1294,415,Shaan Tandoori,"2550, boul Lapinière"
1295,416,Fat Albert\'s,245 Laurier Ave
1296,417,Sushi Presse LaSalle (dropped closed),"7763, boul Newman"
1297,,Basha Mont-Saint-Hilaire,272 boul Sir-Wilfrid-Laurier
1298,419,Sous Le Palmier,"2038, rue Lapierre"
1299,421,Michelle BBQ,"3753, rue Ontario E"
1300,422,Basha (Van Horne),"2685, avenue Van Horne"
1301,423,Basha (Des Laurentides) (dropped) click my resto,"1040, boulevard des Laurentides"
1302,424,I Went to Philly Yonge (DROPPED),
1303,425,Parti Pizza,267 Greenbank Rd
1304,426,Mr. Chopsticks,9-4055 Carling Ave 
1305,427,Taco Loco (dropped for clique my slice),"173, rue Saint Hubert"
1306,428,Pizza Tomato (DROPPED CLOSED),"4319, rue St-Denis"
1307,429,Ocean Sushi,"3751, rue Saint Urbain"
1308,,Amir Dorion,"470, boul Harwood"
1309,431,Mysore (Brossard) Dropped Closed down,"8200, boulevard Taschereau"
1310,432,Thali,"161, rue Ontario Est"
1311,433,Amir Saint-Lazare,"2673, côte Saint Charles local 204"
1312,434,Amir Vaudreuil,"48, boul de la Cité-des-Jeunes"
1313,436,Amir Vimont,"2157, boul des Laurentides"
1314,438,India Cafe,30 Byward Market
1315,439,Miso Japanese Cuisine,132 Bank St
1316,441,1 for 1 Pizza,4025 Innes Rd
1317,442,Chester\'s Country Fried Chicken( Changed to PFC)_,1574 Walkley Rd
1318,443,Chester\'s Country Fried Chicken(changed to pfc),527 Bronson Ave
1319,447,Café Asia,1828 ave du Mont-Royal E
1320,448,Yaseen Halal Pizza - Bank,2895 Bank St
1321,449,Marble Slab Ottawa,773 Bank St
1322,450,Pili Pili Grilled Chicken (dropped),355 Montreal Rd
1323,451,Fat Albert\'s,1571 Bank St
1324,452,Fat Albert\'s ,2946 Baseline Rd
1325,453,Fat Albert\'s,1990 Russell Rd
1326,,Ramigab,3915 Champlain Rd
1327,455,La Porte de L\'Inde,"5195, boul Saint-Laurent"
1328,457,Happy Sushi,2143 Danforth Ave
1329,458,Classico Louie\'s Pizzeria,2549 Yonge St
1330,,Indira\'s Caribbean Spot,937 Danforth Ave
1331,460,Kothu Rotti,408 Dalhousie Street
1332,,Grazie Kitchen and Pizza,2006 Robertson Rd
1333,462,Mysore Plateau (dropped),"4216, boul Saint-Laurent"
1334,463,Sababa Grill (dropped closed),"4403, boul St-Laurent"
