id,restaurant_id,area_number,area_name,delivery_fee,min_order_value,is_complex,coords
45,1059,0,Area title,0,,n,"45.5517659403,-75.6813812256|45.5529680113,-75.660610199|45.5548912713,-75.6422424316|45.5554922784,-75.6326293945|45.556333675,-75.6195831299|45.5575356482,-75.6120300293|45.5584972083,-75.604133606|45.5588577891,-75.5952072144|45.5500829996,-75.5941772461|45.5368581264,-75.5914306641|45.5242314817,-75.5904006958|45.5149701407,-75.5879974365|45.5157710453,-75.5635356903|45.515951473,-75.5613899231|45.5097564568,-75.5601882935|45.5045833965,-75.5528926849|45.4991692197,-75.5533218384|45.4926113529,-75.5432796478|45.4870756775,-75.5459403992|45.4800349576,-75.5721187592|45.4747387937,-75.5924606323|45.4726322264,-75.6179523468|45.4705667111,-75.6345176697|45.4650288702,-75.6722831726|45.4528677892,-75.6928825378|45.4578047819,-75.7054138184|45.457563963,-75.7188034058|45.4673764996,-75.728931427|45.480136262,-75.7406044006|45.4881397326,-75.7486724854|45.49030589,-75.7433509827|45.4952396042,-75.743522644|45.4971838902,-75.73554039|45.4973042152,-75.7306480408|45.4988082552,-75.7202625275|45.514447891,-75.7194042206|45.5330103064,-75.7230949402|45.5369783666,-75.6916809082|45.5481595751,-75.688419342"
46,1060,0,Area title,0,,n,"45.333081768716,-75.807895660423|45.31171822467,-75.801200866655|45.3037500954,-75.8230018616|45.3520246111,-75.8506393433|45.3579354107,-75.8461761475|45.3923023127,-75.7653236389|45.3699963513,-75.7527923584|45.349732502276,-75.790214538616|45.343217581023,-75.787467956555"
47,1061,0,Area title,0,,n,"45.4881683143,-75.5412197113|45.4912670955,-75.5356407166|45.495629169,-75.5270147324|45.4959600711,-75.5174875259|45.4957795793,-75.5044412613|45.4985169763,-75.4978752136|45.5006827346,-75.4865026474|45.4996600258,-75.4841852188|45.4976747145,-75.4832410812|45.4937640481,-75.4807090759|45.4894620014,-75.4776620865|45.4899734503,-75.4744434357|45.4877170212,-75.466375351|45.4852498887,-75.4599380493|45.4812180004,-75.4533720016|45.4767645348,-75.4444026947|45.474387203,-75.440454483|45.4690905087,-75.4402828217|45.4591578643,-75.4437589645|45.4500062432,-75.4424285889|45.4425694576,-75.4383087158|45.441214472,-75.4369354248|45.4324514464,-75.4320859909|45.4288976668,-75.4199409485|45.4204941962,-75.4155635834|45.412963142,-75.4113578796|45.412752258,-75.4174518585|45.4132041512,-75.4318284988|45.4133547815,-75.4433298111|45.4091068534,-75.4541873932|45.4077811934,-75.4609680176|45.4110952851,-75.4753017426|45.4161263071,-75.4873180389|45.4192591721,-75.4977035522|45.4220304079,-75.5156850815|45.4197617202,-75.5301475525|45.4180145825,-75.5493736267|45.4162673906,-75.5639648438|45.4298820063,-75.5760669708|45.4389766677,-75.5790710449|45.4472268473,-75.5853366852|45.456258507,-75.5761528015|45.4612554038,-75.570230484|45.4734748637,-75.5632781982|45.4805765836,-75.5612182617|45.4849093968,-75.5498027802"
48,1062,0,Area title,0,,n,"45.4167287942,-75.7215070724|45.4198917488,-75.7190179825|45.422331621,-75.7121515274|45.4247412678,-75.7073450089|45.4267592678,-75.704126358|45.4271508117,-75.7002210617|45.429439783241,-75.697431564293|45.43016259702,-75.695242881808|45.431638313226,-75.692238807715|45.433565721093,-75.688848495457|45.430704701363,-75.687432289111|45.428957902195,-75.68520069123|45.426277363953,-75.683355331423|45.423747300968,-75.681552886977|45.42136773351,-75.679492950415|45.4184157256,-75.6783342361|45.4191085576,-75.6763601303|45.4188374504,-75.6744718552|45.4184458489,-75.6727552414|45.4186567116,-75.6699228287|45.418988065646,-75.663785934457|45.415373188566,-75.66387176518|45.414439307721,-75.669064521834|45.413234277359,-75.671510696388|45.4112459205,-75.6730985641|45.4069677044,-75.6712532043|45.4033219265,-75.6690645218|45.3998265796,-75.6706953049|45.3975062731,-75.6730985641|45.3937393388,-75.674943924|45.3912379561,-75.676445961|45.3885556272,-75.6791496277|45.3878322807,-75.6836557388|45.3851196491,-75.6854581833|45.3835522914,-75.6872606277|45.3830097345,-75.6906509399|45.3807490243,-75.6968736649|45.3788198134,-75.6997489929|45.3763685159,-75.7008647919|45.3653340985,-75.7078170776|45.3730523872,-75.7316350937|45.3745692885,-75.7412052155|45.3695948643,-75.7551527023|45.368780826,-75.7611179352|45.3754736823,-75.7672977448|45.3843058342,-75.7666540146|45.3981390934,-75.7645082474|45.407751064,-75.760602951|45.4135656633,-75.7442092896"
49,1063,0,Area title,0,,n,"45.440461184601,-75.695428850013|45.419981612569,-75.678606035071|45.412751754157,-75.670022966224|45.401905230933,-75.66967964347|45.392503226101,-75.673456193763|45.384546461672,-75.687532426673|45.376588577183,-75.700235368568|45.369594360109,-75.700922014075|45.351260583941,-75.731134416419|45.360669448008,-75.739717485267|45.372970986691,-75.764780046302|45.392503226101,-75.777139665443|45.414197799892,-75.748987199622|45.425764832827,-75.705041887122"
50,1063,1,Area title,0,,n,"45.44096304405,-75.69954872306|45.425784914872,-75.708818437415|45.418314813103,-75.740404130775|45.405782100298,-75.767183305579|45.378537963,-75.789842607337|45.356588447269,-75.821084977943|45.343318126882,-75.813188554603|45.34283551115,-75.79361915763|45.340663689445,-75.787782670814|45.33535444121,-75.783319475013|45.345731143828,-75.744180681068|45.361172016706,-75.712251664954|45.36864967499,-75.694055558997|45.364066711359,-75.677232744056|45.376608676714,-75.646677018958|45.388183407043,-75.6240177172|45.405541059334,-75.625047685462|45.427471575255,-75.639123918372|45.444335407286,-75.649080278236|45.434699548937,-75.671052934485|45.439758579755,-75.691308976966"
51,1064,0,Area title,0,,n,"45.4403111302,-75.7023239136|45.44214791,-75.7163572311|45.4420876886,-75.7256698608|45.4534287425,-75.728931427|45.4649275396,-75.7303905487|45.4613758054,-75.7648944855|45.454553642,-75.7682418823|45.4407040871,-75.7548522949|45.4352837704,-75.757598877|45.4313085406,-75.7809448242|45.4266101807,-75.8003425598|45.416850799,-75.8048057556|45.4080538616,-75.7946777344|45.3961215791,-75.7828330994|45.4087769492,-75.7629203796|45.403112515,-75.7610321045|45.3893708893,-75.7742500305|45.3809313912,-75.7874679565|45.3577765913,-75.8190536499|45.3515832869,-75.8205986023|45.3449479289,-75.8169937134|45.3377084693,-75.8114147186|45.332157591,-75.8060932159|45.3305284253,-75.7987976074|45.3181573056,-75.7907295227|45.3162863158,-75.7897853851|45.3205110438,-75.7781124115|45.3237095569,-75.7622337341|45.3270285777,-75.7502174377|45.3296233131,-75.7440376282|45.3331833379,-75.7266139984|45.3385531206,-75.7138252258|45.3355364509,-75.7055854797|45.3328213108,-75.6987190247|45.3326402968,-75.6960582733|45.333605698,-75.6926250458|45.3378291345,-75.6813812256|45.3527896321,-75.6465339661|45.3572528856,-75.6364917755|45.3652737943,-75.6166648865|45.3727509113,-75.5987262726|45.3744391556,-75.5945205688|45.3913791019,-75.6043052673|45.3962009342,-75.6039619446|45.4171108693,-75.5957221985|45.423316075,-75.5958080292|45.4312071475,-75.6037044525|45.4375914828,-75.6095409393|45.4471666313,-75.614862442|45.4639643796,-75.6244754791|45.4623992094,-75.6585502625|45.4596299558,-75.681552887|45.4455407773,-75.6969165802"
52,1065,0,Area title,0,,n,"45.4265087783,-75.7037830353|45.4239787257,-75.7080745697|45.421508803,-75.7139110565|45.4190990182,-75.7206916809|45.4137368781,-75.7395744324|45.407410104,-75.752363205|45.4017455327,-75.7497024536|45.3893899762,-75.7347679138|45.3927051468,-75.7177734375|45.3989733014,-75.7033538818|45.3939106151,-75.6963157654|45.3839647322,-75.6997489929|45.3786595458,-75.7009506226|45.3837235982,-75.6890201569|45.3889680315,-75.6783771515|45.4018660614,-75.6686782837|45.413013854,-75.6709957123|45.4181350755,-75.6635284424|45.4340380259,-75.6717681885|45.4380130635,-75.692024231|45.4347607808,-75.702753067|45.431448078,-75.7037830353"
53,1066,0,Area title,0,,n,"45.4178940873,-75.7260131836|45.4152431487,-75.7399177551|45.4099408981,-75.7491874695|45.4046984111,-75.7536506653|45.4015044736,-75.7614612579|45.4037944848,-75.7635641098|45.3975569994,-75.7684993744|45.3933681566,-75.7712030411|45.3823973417,-75.7783699036|45.3776346219,-75.7754945755|45.373806069,-75.7736063004|45.3686808287,-75.7701301575|45.3693742707,-75.7560539246|45.3656959159,-75.7510757446|45.3632837501,-75.7466125488|45.3630425279,-75.7424926758|45.363947106,-75.73802948|45.367143166,-75.730047226|45.3730523863,-75.7161426544|45.3758861811,-75.7083320618|45.3777552021,-75.6996631622|45.3839044479,-75.687046051|45.3934284299,-75.6952857971|45.3941517048,-75.690908432|45.3962009332,-75.686788559|45.397526865,-75.6811237335|45.4018057961,-75.6794071198|45.4052407599,-75.6810379028|45.4107242174,-75.6824111938|45.4147611474,-75.6650733948|45.4186170499,-75.6642150879|45.4207256352,-75.6773471832|45.4277135263,-75.6823253632|45.4260871117,-75.6985473633|45.4221714767,-75.7103061676|45.4192195108,-75.7186317444"
54,1068,0,Area title,0,,n,"45.417431186086,-75.66198348999|45.428696379149,-75.669107437134|45.433033180329,-75.671253204346|45.43761055339,-75.657520294189|45.441224006699,-75.646705627441|45.44405438349,-75.637693405151|45.447005050659,-75.627479553223|45.458926582878,-75.627737045288|45.4632610607,-75.615978240967|45.464886403972,-75.598726272583|45.461394868043,-75.5859375|45.450617902301,-75.58482170105|45.447366346237,-75.576410293579|45.44284998519,-75.56619644165|45.435803739957,-75.543966293335|45.413093186187,-75.552549362183|45.409477931716,-75.569801330566|45.408092022812,-75.58310508728|45.398148635834,-75.591259002686|45.392905054403,-75.607309341431|45.389167952326,-75.617523193359|45.401704350976,-75.624217987061|45.409236906524,-75.630397796631|45.413093186187,-75.642585754395|45.414780225745,-75.654859542847"
55,1068,1,Area title,0,,n,"45.471086357215,-75.57186126709|45.480475279082,-75.550403594971|45.489140587755,-75.531177520752|45.491186368906,-75.504741668701|45.501895422116,-75.485858917236|45.489140587755,-75.476245880127|45.483363863406,-75.45581817627|45.460010233574,-75.441741943359|45.453026341501,-75.436935424805|45.436285562529,-75.42989730835|45.423425512487,-75.410349369049|45.416105721472,-75.411357879639|45.412731671154,-75.429639816284|45.416828706027,-75.450668334961|45.420202511561,-75.468864440918|45.422792975415,-75.481481552124|45.426106186177,-75.496673583984|45.427672363576,-75.50929069519|45.421829095773,-75.51212310791|45.421648366508,-75.522594451904|45.40501879916,-75.521650314331|45.394291335887,-75.523366928101|45.390735154249,-75.532808303833|45.389710450217,-75.550661087036|45.391759839703,-75.569286346436|45.397124066216,-75.582504272461|45.378980080609,-75.587568283081|45.374096485314,-75.596237182617|45.368669773663,-75.609283447266|45.36523258697,-75.619668960571|45.370418437609,-75.622758865356|45.375181765162,-75.625333786011|45.380095410494,-75.627522468567|45.383742687037,-75.630311965942|45.382205433874,-75.634088516235|45.39380915488,-75.649280548096|45.393718745483,-75.640439987183|45.399143053286,-75.649881362915|45.398751315167,-75.657992362976|45.398841716512,-75.662069320679|45.399203320448,-75.669665336609|45.404958538201,-75.667991638184|45.409598443927,-75.668206214905|45.416497339255,-75.673570632935|45.419569938379,-75.681080818176|45.423184546819,-75.687689781189|45.427582008368,-75.688676834106|45.429509554754,-75.684084892273|45.43170808199,-75.678634643555|45.433454796003,-75.674815177917|45.437279308592,-75.678634643555|45.440772337691,-75.68253993988|45.448359897143,-75.686402320862|45.453718748736,-75.688676834106|45.457030144047,-75.678849220276|45.459348005068,-75.667133331299|45.460943360539,-75.656361579895|45.463441656711,-75.645117759705|45.463772747895,-75.634174346924|45.463441656711,-75.621943473816|45.464374726885,-75.613210201263|45.465503420166,-75.601687431335|45.466165576372,-75.595142841339|45.466963163295,-75.587718486786|45.469205375503,-75.583426952362"
56,1069,0,Area title,0,,n,"45.4653900503,-75.630569458|45.4662327949,-75.6007003784|45.4720112757,-75.5828475952|45.4742984274,-75.5699729919|45.4661124036,-75.5646514893|45.4532290472,-75.572719574|45.4452808361,-75.5728912354|45.4417880861,-75.5637931824|45.4401018536,-75.5459403992|45.438174669,-75.5371856689|45.4326336465,-75.545425415|45.4260077968,-75.5605316162|45.4237186861,-75.5813026428|45.420706557,-75.5893707275|45.4107051358,-75.6132316589|45.4074512796,-75.6140899658|45.3935901631,-75.5998420715|45.3880447662,-75.6250762939|45.3910586374,-75.6554603577|45.3919024925,-75.6705665588|45.3990144832,-75.6717681885|45.4068486931,-75.6702232361|45.4137177985,-75.6678199768|45.4145613152,-75.6703948975|45.4134767914,-75.6750297546|45.4107051358,-75.6727981567|45.4145613152,-75.6796646118|45.4208270452,-75.6863594055|45.4255258865,-75.6978607178|45.4309471404,-75.7061004639|45.4428720662,-75.7026672363|45.451422734,-75.6945991516|45.4635841266,-75.660610199|45.4655104432,-75.6465339661"
57,1070,0,Area title,0,,n,"45.3606714596,-75.8298683167|45.3660989386,-75.8501243591|45.3683903845,-75.8767318726|45.3657371229,-75.883769989|45.3418521678,-75.8961296082|45.3369050334,-75.8937263489|45.3244749596,-75.8872032166|45.3090240761,-75.8787918091|45.2973123974,-75.873298645|45.2895837814,-75.8688354492|45.2855982994,-75.8669471741|45.2731569693,-75.8599090576|45.2692911463,-75.8581924438|45.2704992443,-75.8501243591|45.2758145699,-75.8369064331|45.2812501853,-75.8255767822|45.2865645039,-75.8108139038|45.304074076,-75.8200836182|45.3140943617,-75.7955360413|45.3195263071,-75.7797431946|45.3220610368,-75.7747650146|45.3400422907,-75.7862663269|45.3498149395,-75.7632637024|45.3653753048,-75.7691001892|45.3700787608,-75.7740783691|45.3621188401,-75.7915878296|45.3619982266,-75.8118438721"
58,1071,0,Area title,0,,n,"45.36929337,-75.783905983|45.3720972051,-75.7805156708|45.3775235879,-75.7756662369|45.3704993376,-75.7711172104|45.3762574785,-75.7579851151|45.3822561744,-75.7436513901|45.3844264001,-75.7397460938|45.3862047174,-75.7348537445|45.389761184,-75.7267856598|45.3867472437,-75.7160139084|45.3807791677,-75.7051563263|45.3739663513,-75.7016372681|45.367213015,-75.6964015961|45.3584686591,-75.6927967072|45.3525277573,-75.7036542892|45.3445955298,-75.6980323792|45.3389548288,-75.6984615326|45.3337660942,-75.6997919083|45.3300250836,-75.7012939453|45.3227837161,-75.700006485|45.3195247987,-75.6994915009|45.313036581,-75.7009077072|45.3089320225,-75.7006502151|45.3068192662,-75.7065296173|45.3056119415,-75.7123661041|45.3019898133,-75.7226228714|45.2996257472,-75.726442337|45.2955202176,-75.7370853424|45.2915351545,-75.747385025|45.288576366,-75.7551956177|45.2872478801,-75.7577705383|45.3008140825,-75.7663536072|45.3166293362,-75.7752799988|45.3201298263,-75.778799057|45.3162863158,-75.7896137238|45.3274509846,-75.7973384857|45.3326402977,-75.8006858826|45.3371051401,-75.8064365387|45.3407853536,-75.8083248138|45.3449479298,-75.804977417|45.3478434544,-75.8042907715|45.3571322627,-75.7957077026|45.3646707589,-75.7898712158"
59,1072,0,Area title,0,,n,"45.3489704562,-75.7000923157|45.3548815748,-75.7014656067|45.3572940988,-75.6935691833|45.3621188383,-75.6903076172|45.3654959111,-75.6940841675|45.372008268,-75.6992340088|45.3763494227,-75.7026672363|45.3753847505,-75.710735321|45.3733347673,-75.7151985168|45.379725646,-75.7203483582|45.3850307325,-75.7230949402|45.389732552,-75.7260131836|45.394072346,-75.7467842102|45.3909380838,-75.7567405701|45.3835839401,-75.7696151733|45.373817123,-75.7859230042|45.3699581625,-75.7860946655|45.3645310537,-75.7896995544|45.3557259699,-75.7970809937|45.3488498147,-75.8042907715|45.344989151,-75.8044624329|45.3344916402,-75.8121871948|45.3306299973,-75.8078956604|45.3198884183,-75.804977417|45.3118007172,-75.7998275757|45.3084204405,-75.7967376709|45.2999688684,-75.7907295227|45.2952595879,-75.791759491|45.2878930058,-75.8029174805|45.2783512562,-75.8006858826|45.2732777739,-75.7900428772|45.268203838,-75.7838630676|45.2578129349,-75.769443512|45.2614378845,-75.7550239563|45.2692911482,-75.7467842102|45.2747273865,-75.7340812683|45.275452179,-75.7155418396|45.2706200545,-75.7073020935|45.2770225309,-75.7011222839|45.2923613747,-75.6983757019|45.3092655286,-75.6964874268|45.318681372,-75.6970024109|45.3301472734,-75.6980323792|45.3373876997,-75.6982040405"
60,1074,0,Area title,0,,n,"45.4017646154,-75.7595729828|45.3787389253,-75.7451534271|45.3702978418,-75.7544231415|45.3585385188,-75.746011734|45.3513007973,-75.762834549|45.3367622437,-75.7534790039|45.333926489,-75.7837772369|45.3268666532,-75.7800006866|45.3245735258,-75.7942485809|45.3354348869,-75.8007717133|45.3327197419,-75.8098697662|45.3158225814,-75.8126163483|45.276275610501,-75.910549163792|45.292580756538,-75.938358306897|45.309062305992,-75.950202941897|45.347289494751,-75.946297645563|45.370539033129,-75.888490676869|45.3758449815,-75.8006858826"
61,1075,0,Area title,0,,n,"45.439097116,-75.6782054901|45.4412049364,-75.6750297546|45.4432524579,-75.6716823578|45.4465644677,-75.669708252|45.4492741493,-75.6656742096|45.4497558568,-75.6591510773|45.4501171348,-75.6541728973|45.4512009557,-75.6472206116|45.4605931899,-75.6370925903|45.462700207,-75.6270503998|45.4577034383,-75.6208705902|45.4537899969,-75.6186389923|45.4479494333,-75.6152915955|45.4395186864,-75.6105709076|45.4341584857,-75.6075668335|45.4293398932,-75.6013011932|45.4217497758,-75.5956363678|45.4187977879,-75.5947780609|45.414821397,-75.6045627594|45.4016250028,-75.6108283997|45.3950557862,-75.6215572357|45.4037944857,-75.6298828125|45.4107844722,-75.6482505798|45.4100614103,-75.6552886963|45.4083742297,-75.6670475006|45.4104229424,-75.6726264954|45.4157853963,-75.66447258|45.4224726881,-75.6679058075|45.4350016971,-75.6727981567"
62,1076,0,Area title,0,,n,"45.3518848756,-75.7009506226|45.3477228096,-75.6999206543|45.3439827211,-75.6968307495|45.3386134524,-75.6985473633|45.3348124263,-75.6973457336|45.32739064,-75.6994056702|45.3186401307,-75.6964874268|45.3120612718,-75.6980323792|45.3085602832,-75.7026672363|45.3059042176,-75.7119369507|45.301316173,-75.7238674164|45.2972107658,-75.7332229614|45.2882140548,-75.7555389404|45.2873082665,-75.7573413849|45.2957617275,-75.7622337341|45.309767546,-75.7705593109|45.3210954388,-75.7771682739|45.315905068,-75.7915878296|45.3348536558,-75.7999992371|45.3383530199,-75.7960510254|45.3457130455,-75.7996559143|45.357052851,-75.7751083374|45.3667019597,-75.7584571838|45.3755053354,-75.7472991943|45.3841867747,-75.739402771|45.3908175317,-75.7328796387|45.3951572424,-75.7301330566|45.3985323425,-75.7254981995|45.4017867125,-75.715713501|45.4033535645,-75.7083320618|45.3997376866,-75.7059288025|45.3967242783,-75.7021522522|45.3939518006,-75.7018089294|45.3834633724,-75.7004356384|45.3744200618,-75.7021522522|45.366460752,-75.694770813|45.3615157683,-75.6932258606"
