combo_group_id,dish_id,display_order
1038,14279,15
1038,14280,16
1038,14281,17
1038,14282,18
1038,14283,19
1038,14284,20
1038,14285,21
1038,14286,22
1038,14287,23
1038,14288,24
1038,14289,25
1039,14330,0
1039,14331,1
1039,14332,2
1040,14326,0
1040,14327,1
1040,14328,2
1040,14329,3
1053,14264,0
1053,14265,1
1053,14266,2
1053,14267,3
1053,14268,4
1053,14269,5
1053,14270,6
1053,14271,7
1053,14272,8
1053,14273,9
1054,14274,0
1054,14275,1
1054,14276,2
1054,14277,3
1054,14278,4
1054,14279,5
1054,14280,6
1054,14281,7
1054,14282,8
1054,14283,9
1054,14284,10
1054,14285,11
1054,14286,12
1054,14287,13
1054,14288,14
1054,14289,15
1055,14330,0
1055,14331,1
1055,14332,2
1177,9699,0
1177,9700,1
1177,9701,2
1177,9702,3
1177,9703,4
1177,9704,5
1177,9705,6
1177,9706,7
1177,15931,8
1188,15114,3
1188,15979,4
1194,15995,0
1194,15996,1
1345,16937,0
1345,16938,1
1384,17245,0
1384,17246,1
1384,17248,2
1384,17259,3
1522,19305,20
1523,19305,15
1524,19305,15
1525,19305,15
1538,19715,0
1538,19716,1
1538,19717,2
1538,19719,3
1538,19720,4
1538,19721,5
1593,21134,0
1593,21135,1
1593,21136,2
1593,21137,3
1593,21138,4
1599,21134,0
1599,21135,1
1599,21136,2
1599,21137,3
1599,21138,4
1600,21134,0
1600,21135,1
1600,21136,2
1600,21137,3
1600,21138,4
1601,21134,0
1601,21135,1
1601,21136,2
1601,21137,3
1601,21138,4
1602,21134,0
1602,21135,1
1602,21136,2
1602,21137,3
1602,21138,4
1749,24233,0
1749,24235,1
1749,24238,2
1750,24553,0
1750,24554,1
1750,24555,2
1750,24556,3
1750,24557,4
1770,25286,0
1770,25287,1
1770,25288,2
1770,25289,3
1770,25290,4
1770,25291,5
1770,25292,6
1770,25293,7
1770,25294,8
1770,25295,9
1770,25296,10
1770,25297,11
1770,25298,12
1770,25299,13
1796,18052,0
1796,18053,1
1796,18054,2
1796,18055,3
1796,18056,4
1796,18057,5
1801,25958,0
1801,25959,1
1801,25960,2
1801,25961,3
1801,25962,4
1802,25963,0
1802,25964,1
1802,25965,2
1802,25966,3
1802,25967,4
1803,18093,0
1803,18094,1
1803,18095,2
1803,18096,3
1803,18097,4
1803,18098,5
1808,25972,0
1808,25973,1
1808,25974,2
1808,25975,3
1808,25976,4
1809,25972,0
1809,25973,1
1809,25974,2
1809,25975,3
1809,25976,4
1810,25558,3
1810,25559,4
1810,25560,5
1810,25561,6
1810,25562,7
