id;course;restaurant;sku;name;ingredients;price;order;quantity;hasCustomisation;ciHeader;minci;maxci;freeci;displayOrderCI;hasSideDish;sideDishHeader;minsd;maxsd;freeSD;displayOrderSD;hasDrinks;drinksHeader;mindrink;maxdrink;freeDrink;displayOrderDrink;hasExtras;extraHeader;minextras;maxextras;freeExtra;displayOrderExtras;isSideDish;showSDInMenu;isDrink;hasBread;breadHeader;displayOrderBread;hasDressing;dressingHeader;mindressing;maxdressing;freeDressing;displayOrderDressing;hasSauce;sauceHeader;minsauce;maxsauce;freeSauce;displayOrderSauce;hasCookMethod;cmHeader;mincm;maxcm;freecm;displayOrderCM;isCombo;useSteps;mincombo;maxcombo;displayOrderCombo;menuType;image;lang;showInMenu;showPizzaIcons;checkoutItems;upsell
5480;896;105;NULL;"3 Toppings";"2 pizzas with 3 toppings each. Divide your toppings across your pizzas any way you like.";18.00,26.00,34.00;0;"2 x Small (9"),2 x Medium (12"),2 x Large (15")";N;;0;0;0;2;N;;0;0;0;5;N;Drinks;0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
5481;897;105;NULL;"2 Subs Deal";"2 subs at special price. No Custom Ingredients for Pizza Sub and Meatball Sub.";15.95;0;;N;;0;0;0;2;N;;0;0;0;5;N;Drinks;0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
5730;884;95;NULL;"Medium Pizza & Cheesy Bread HIDE";"1 medium pizza 3 toppings, cheesy garlic bread, 2 dips, 2 drinks.";24.99;12;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;Y;"Choose 2  Drinks";2;2;2;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;N;N;N;n
6279;994;114;NULL;"6 Toppings Combined";"2 pizzas with 3 topping each. Divide your toppings across your pizzas any way you like";18.00,25.00,32.50;0;"2 x Small,2 x Medium,2 x Large";N;;0;0;0;2;N;;0;0;0;5;N;Drinks;0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
6281;993;114;NULL;"Large Pizza Special";"Large pizza 3 toppings, 15 wings, 2 pop, 2 house garlic dips.";27.95;6;;N;;0;0;0;2;N;;0;0;0;5;Y;"Choose 2 drinks";2;2;2;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
6282;993;114;NULL;"2 Pasta Special";"2 pasta and 2 pops";16.95;8;;N;;0;0;0;2;N;;0;0;0;5;Y;"Choose 2 drinks";2;2;2;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
6684;1079;120;NULL;"Deal No.3";"1 small 3 toppings pizza, 15 wings, 2 cans of pop, 2 garlic dipping sauce.";20.50;3;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;Y;Drinks;2;2;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
6687;1079;120;NULL;"Deal No.6 HIDE";"2 medium pizza 3 topping, 20 wings, 4 cans of pop, 4 garlic dipping sauces.";42.95;10;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;Y;Drinks;4;4;4;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;N;N;N;n
7057;1099;123;NULL;"Family BBQ Special No.1";"Comes with 2 shish kabob (beef) 2 shish taouk (chicken) and 3 kafta (beef). For 3 people.";39.99;0;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
7061;735;94;NULL;"One Item Pizza";"Choose any one topping.";13.50,19.99,23.99,29.99;2;"Small(9"),Medium(12"),Large(15"),X-Large(18")";N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
7464;1158;122;NULL;"Combo Box";"4 wings, 2 chicken fingers, 8 zucchini, onion rings, fries, 2 dipping sauces and 1 can of pop";12.50;4;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;Y;Drinks;1;1;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
8448;1275;135;NULL;"Preston Pizza’s Special";" Ham, Turkey & Pepperoni";12.95;1;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
8449;1275;135;NULL;" Steak";;13.95;2;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
8450;1275;135;NULL;" Steak and Pepperoni";;13.95;3;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
8451;1275;135;NULL;" Club";;12.95;4;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
8454;1275;135;NULL;" Ham and Cheese";;11.95;7;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
8455;1275;135;NULL;"Pepperoni and Cheese";;11.95;8;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
9038;1291;125;NULL;"1 Large Pizza Everyday Special";"1 large pizza, up to 3 toppings, large French fries, large Garden salad or Caesar salad and 3 cans of pop. You save over $10!";28.95;0;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;Y;Drinks;3;3;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
10369;1556;127;NULL;"Medium 3 Toppings";"1 medium 3 toppings pizza, 1Lb wings and 2 x 591ml beverages.";36.75;4;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;Y;"First Two 591ml Drinks Free";2;0;2;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
