id,dish,group,order
8566,26616,1865,0
8567,26616,1870,0
8568,26616,1930,0
8569,25830,1793,0
8570,25831,1794,0
8571,25832,1795,0
8572,27814,1931,0
8573,27814,1932,0
8574,27815,1933,0
8575,27815,1934,0
8576,27816,1935,0
8577,27816,1936,0
8578,27817,1937,0
8579,27817,1938,0
8601,6280,272,0
8678,25542,1786,0
8679,25542,1787,0
8680,25540,1786,0
8681,25540,1787,0
8682,25541,1786,0
8683,25541,1787,0
8715,28618,1969,0
8716,28618,1965,0
8717,28618,1971,0
8721,28619,1970,0
8722,28619,1965,0
8723,28619,1971,0
8730,28613,1966,0
8731,28613,1961,0
8732,28613,1967,0
8733,28614,1968,0
8734,28614,1961,0
8735,28614,1967,0
8736,29083,1972,0
8737,29084,1972,0
8738,29085,1972,0
8739,29086,1972,0
8740,29087,1972,0
8741,29088,1972,0
8742,29089,1972,0
8743,29090,1972,0
8744,29091,1972,0
8745,29092,1972,0
8746,29093,1972,0
8747,29094,1972,0
8748,29095,1972,0
8749,29096,1972,0
8750,29097,1972,0
8753,29134,1975,0
8754,29134,1976,0
8755,29135,1977,0
8756,29135,1978,0
8757,29136,1979,0
8758,29136,1980,0
8759,29137,1973,0
8760,29137,1974,0
8761,29138,1975,0
8762,29138,1976,0
8763,29139,1977,0
8764,29139,1978,0
8765,29140,1979,0
8766,29140,1980,0
8767,29141,1973,0
8768,29141,1974,0
8769,29142,1975,0
8770,29142,1976,0
8771,29143,1977,0
8772,29143,1978,0
8773,29144,1979,0
8774,29144,1980,0
8778,29145,1981,0
8779,29145,1982,0
8780,29145,1983,0
8781,29133,1973,0
8782,29133,1974,0
8783,29147,1984,0
8784,29147,1985,0
8785,29147,1986,0
8789,29148,1987,0
8790,29148,1988,0
8791,29148,1989,0
8792,29148,1990,0
8881,29317,2010,0
8911,29381,2015,0
8912,29382,2015,0
8913,29383,2015,0
8914,29384,2015,0
8915,29385,2015,0
8916,29386,2015,0
8917,29387,2015,0
8918,29388,2015,0
8919,29389,2015,0
8920,29390,2015,0
8921,29391,2015,0
8922,29392,2015,0
8923,29393,2015,0
8924,29394,2015,0
8925,29395,2015,0
8926,29396,2015,0
8933,29471,2020,0
8934,29471,2021,0
8935,29471,2024,0
8943,29475,2020,0
8944,29475,2021,0
8945,29476,2022,0
8946,29476,2023,0
8951,29479,2020,0
8952,29479,2021,0
8953,29480,2022,0
8954,29480,2023,0
8959,29483,2020,0
8960,29483,2021,0
8961,29484,2022,0
8962,29484,2023,0
8969,29487,2020,0
8970,29487,2021,0
8971,29487,2026,0
8972,29488,2022,0
8973,29488,2023,0
8974,29488,2026,0
8979,29490,2020,0
8980,29490,2021,0
8981,29490,2025,0
8982,29491,2028,0
8983,29491,2029,0
8984,29491,2030,0
8985,29492,2031,0
8986,29492,2032,0
8987,29492,2033,0
8989,29546,2034,0
8990,29547,2034,0
8991,29548,2034,0
8992,29549,2034,0
8993,29550,2035,0
8994,29550,2036,0
8995,29550,2037,0
8999,29551,2039,0
9000,29551,2036,0
9001,29551,2037,0
9002,29552,2034,0
9003,29553,2034,0
9004,29554,2034,0
9005,29555,2034,0
9006,29556,2034,0
9007,29557,2034,0
9008,29558,2034,0
9009,29559,2034,0
9010,29560,2034,0
9011,29561,2034,0
9012,29562,2034,0
9013,29563,2034,0
9014,29564,2034,0
9015,29565,2034,0
9016,29566,2034,0
9017,29567,2034,0
9018,29568,2034,0
9019,29585,2040,0
9020,29585,2041,0
9023,29587,2043,0
9024,29587,2044,0
9025,29588,2045,0
9026,29588,2046,0
9027,29586,2040,0
9028,29586,2042,0
9031,29589,2040,0
9032,29589,2041,0
9033,29589,2047,0
9034,29590,2040,0
9035,29590,2042,0
9036,29590,2047,0
9037,29591,2043,0
9038,29591,2044,0
9039,29591,2048,0
9040,29592,2045,0
9041,29592,2046,0
9042,29592,2048,0
9043,29593,2040,0
9044,29593,2041,0
9045,29594,2040,0
9046,29594,2042,0
9047,29595,2043,0
9048,29595,2044,0
9049,29596,2045,0
9050,29596,2046,0
9051,29597,2049,0
9052,29597,2050,0
