id,name,type,course,dish,restaurant,lang,useincombo,isglobal
265,Salad Dressings,dr,0,0,96,en,N,N
268,Add Grilled Chicken at Salads,ci,0,0,96,en,N,N
269,No bacon and No croutons,e,0,0,96,en,N,N
270,Burger & Stuff -add cheese or bacon,e,0,0,96,en,N,N
271,Dipping Sauces,sa,0,0,96,en,N,N
272,Pizza Crust,br,0,0,96,en,N,N
273,Drinks,d,0,0,96,en,N,N
274,salad dressings,dr,0,0,92,en,N,N
275,Burger & Stuff - toppings,ci,0,0,96,en,N,N
276,Hotdog toppings,ci,0,0,96,en,N,N
277,Pizza Crust type,br,0,0,97,en,N,N
278,Pizza Toppings,ci,0,0,97,en,N,N
279,Pizza Premium  Toppings,e,0,0,97,en,N,N
280,Nachos Cooking method,cm,0,0,97,en,N,N
281,Spaghetti Mushroom and peppers,ci,0,0,97,en,N,N
282,Salad Dressings,dr,0,0,97,en,N,N
283,Julienne Salad,ci,0,0,97,en,N,N
284,Donair Sub Sauces,sa,0,0,97,en,N,N
285,Platter Extra Bacon,ci,0,0,97,en,N,N
286,Platters Extra Poutine,e,0,0,97,en,N,N
287,Donairs Extra cheese and meat,e,0,0,97,en,N,N
288,No bacon bits,e,0,0,97,en,N,N
289,Burgers and Cheesburgers,ci,0,0,97,en,N,N
290,Chicken Burges,ci,0,0,97,en,N,N
291, Subs Extra,ci,0,0,97,en,N,N
292,Donairs Extra ing,ci,0,0,97,en,N,N
293,Pizza Crust type,br,0,0,98,en,N,N
294,Pizza Toppings,ci,0,0,98,en,N,N
295,Pizza Premium  Toppings,e,0,0,98,en,N,N
296,Nachos Cooking method,cm,0,0,98,en,N,N
297,Spaghetti Mushroom and peppers,ci,0,0,98,en,N,N
298,Salad Dressings,dr,0,0,98,en,N,N
299,Julienne Salad,ci,0,0,98,en,N,N
300,Donair Sub Sauces,sa,0,0,98,en,N,N
301,Platter Extra Bacon,ci,0,0,98,en,N,N
302,Platters Extra Poutine,e,0,0,98,en,N,N
303,Donairs Extra cheese and meat,e,0,0,98,en,N,N
304,No bacon bits,e,0,0,98,en,N,N
305,Burgers and Cheesburgers,ci,0,0,98,en,N,N
306,Chicken Burges,ci,0,0,98,en,N,N
307, Subs Extra,ci,0,0,98,en,N,N
308,Donairs Extra ing,ci,0,0,98,en,N,N
309,Wings Sauces,sa,0,0,96,en,N,N
310,Caesar Salad dressings,dr,0,0,96,en,N,N
311,Pizza Crust type,br,0,0,99,en,N,N
312,Pizza Toppings,ci,0,0,99,en,N,N
313,Pizza Premium  Toppings,e,0,0,99,en,N,N
314,Nachos Cooking method,cm,0,0,99,en,N,N
315,Spaghetti Mushroom and peppers,ci,0,0,99,en,N,N
316,Salad Dressings,dr,0,0,99,en,N,N
317,Julienne Salad,ci,0,0,99,en,N,N
318,Donair Sub Sauces,sa,0,0,99,en,N,N
319,Platter Extra Bacon,ci,0,0,99,en,N,N
320,Platters Extra Poutine,e,0,0,99,en,N,N
321,Donairs Extra cheese and meat,e,0,0,99,en,N,N
322,No bacon bits,e,0,0,99,en,N,N
323,Burgers and Cheesburgers,ci,0,0,99,en,N,N
324,Chicken Burges,ci,0,0,99,en,N,N
325, Subs Extra,ci,0,0,99,en,N,N
326,Donairs Extra ing,ci,0,0,99,en,N,N
327,Pizza Crust type,br,0,0,100,en,N,N
328,Pizza Toppings,ci,0,0,100,en,N,N
329,Pizza Premium  Toppings,e,0,0,100,en,N,N
330,Nachos Cooking method,cm,0,0,100,en,N,N
331,Spaghetti Mushroom and peppers,ci,0,0,100,en,N,N
332,Salad Dressings,dr,0,0,100,en,N,N
333,Julienne Salad,ci,0,0,100,en,N,N
334,Donair Sub Sauces,sa,0,0,100,en,N,N
335,Platter Extra Bacon,ci,0,0,100,en,N,N
336,Platters Extra Poutine,e,0,0,100,en,N,N
337,Donairs Extra cheese and meat,e,0,0,100,en,N,N
338,No bacon bits,e,0,0,100,en,N,N
339,Burgers and Cheesburgers,ci,0,0,100,en,N,N
340,Chicken Burges,ci,0,0,100,en,N,N
341, Subs Extra,ci,0,0,100,en,N,N
342,Donairs Extra ing,ci,0,0,100,en,N,N
343,1 topping pizza toppings ,ci,0,0,96,en,N,N
344,Pizza Crust without Gluten free,br,0,0,96,en,N,N
345,Pizza Crust type,br,0,0,102,en,N,N
346,Pizza Toppings,ci,0,0,102,en,N,N
347,Pizza Premium  Toppings,e,0,0,102,en,N,N
348,Nachos Cooking method,cm,0,0,102,en,N,N
349,Spaghetti Mushroom and peppers,ci,0,0,102,en,N,N
350,Salad Dressings,dr,0,0,102,en,N,N
351,Julienne Salad,ci,0,0,102,en,N,N
352,Donair Sub Sauces,sa,0,0,102,en,N,N
353,Platter Extra Bacon,ci,0,0,102,en,N,N
354,Platters Extra Poutine,e,0,0,102,en,N,N
355,Donairs Extra cheese and meat,e,0,0,102,en,N,N
356,No bacon bits,e,0,0,102,en,N,N
357,Burgers and Cheesburgers,ci,0,0,102,en,N,N
358,Chicken Burges,ci,0,0,102,en,N,N
359, Subs Extra,ci,0,0,102,en,N,N
360,Donairs Extra ing,ci,0,0,102,en,N,N
361,Pizza Crust type,br,0,0,103,en,N,N
362,Pizza Toppings,ci,0,0,103,en,N,N
363,Pizza Premium  Toppings,e,0,0,103,en,N,N
364,Nachos Cooking method,cm,0,0,103,en,N,N
365,Spaghetti Mushroom and peppers,ci,0,0,103,en,N,N
366,Salad Dressings,dr,0,0,103,en,N,N
367,Julienne Salad,ci,0,0,103,en,N,N
368,Donair Sub Sauces,sa,0,0,103,en,N,N
369,Platter Extra Bacon,ci,0,0,103,en,N,N
370,Platters Extra Poutine,e,0,0,103,en,N,N
371,Donairs Extra cheese and meat,e,0,0,103,en,N,N
372,No bacon bits,e,0,0,103,en,N,N
373,Burgers and Cheesburgers,ci,0,0,103,en,N,N
374,Chicken Burges,ci,0,0,103,en,N,N
375, Subs Extra,ci,0,0,103,en,N,N
376,Donairs Extra ing,ci,0,0,103,en,N,N
