ingredient_group_id,ingredient_id,base_price,price_by_size,is_included,display_order
107,941,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,16
107,940,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,17
107,958,,"{""S"": 1.25, ""M"": 1.75, ""L"": 2.25}",false,18
108,959,0.0,,true,0
108,960,0.0,,true,1
109,961,0.0,,true,0
109,962,0.0,,true,1
110,967,5.49,,false,0
111,971,0.0,,true,0
111,979,0.0,,true,1
111,978,0.0,,true,2
111,977,0.0,,true,3
111,976,0.0,,true,4
111,975,0.0,,true,5
111,974,0.0,,true,6
111,973,0.0,,true,7
111,972,0.0,,true,8
111,980,0.0,,true,9
112,983,0.0,,true,0
112,984,0.0,,true,1
112,985,0.0,,true,2
112,986,0.0,,true,3
113,987,0.0,,true,0
113,1004,0.0,,true,1
113,1003,0.0,,true,2
113,1002,0.0,,true,3
113,1001,0.0,,true,4
113,1000,0.0,,true,5
113,999,0.0,,true,6
113,998,0.0,,true,7
113,997,0.0,,true,8
113,996,0.0,,true,9
113,995,0.0,,true,10
113,994,0.0,,true,11
113,993,0.0,,true,12
113,992,0.0,,true,13
113,991,0.0,,true,14
113,990,0.0,,true,15
113,989,0.0,,true,16
113,988,0.0,,true,17
113,1005,0.0,,true,18
116,1006,0.0,,true,0
116,1007,0.0,,true,1
116,1008,0.0,,true,2
116,1009,0.0,,true,3
116,1010,0.0,,true,4
117,1011,11.0,,false,0
117,1012,16.0,,false,1
117,1013,21.0,,false,2
117,1014,26.0,,false,3
118,637,1.0,,false,0
118,661,1.5,,false,1
119,782,0.0,,true,0
119,1015,0.0,,true,1
120,1016,0.0,,true,0
120,1017,0.0,,true,1
122,1143,0.0,,true,0
122,1144,0.0,,true,1
123,1084,0.0,,true,0
123,1102,0.0,,true,1
123,1087,0.0,,true,2
123,1103,0.0,,true,3
124,1104,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,0
124,1124,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,1
124,1125,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,2
124,1126,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,3
124,1127,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,4
124,1128,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,5
124,1129,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,6
124,1130,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,7
124,1131,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,8
124,1132,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,9
124,1134,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,10
124,1135,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,11
124,1136,,"{""S"": 1.5, ""M"": 2.0, ""L"": 2.5, ""XL"": 3.0}",false,12
124,1137,,"{""S"": 1.5, ""M"": 2.0, ""L"": 2.5, ""XL"": 3.0}",false,13
124,1138,,"{""S"": 1.5, ""M"": 2.0, ""L"": 2.5, ""XL"": 3.0}",false,14
124,1139,,"{""S"": 1.5, ""M"": 2.0, ""L"": 2.5, ""XL"": 3.0}",false,15
124,1141,,"{""S"": 1.5, ""M"": 2.0, ""L"": 2.5, ""XL"": 3.0}",false,16
124,1123,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,17
124,1122,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,18
124,1121,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,19
124,1105,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,20
124,1106,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,21
124,1107,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,22
124,1108,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,23
124,1109,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,24
124,1110,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,25
124,1111,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,26
124,1112,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,27
124,1113,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,28
124,1114,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,29
124,1115,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,30
124,1116,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,31
