id,course,restaurant,sku,name
51568,6922,535,,Six Toppings
51569,6923,535,,Large Pizza and Wings
51570,6923,535,,Medium Pizza and Wings
51572,6923,535,,Shawarma and Donair Special
51573,6923,535,,Family Pasta Special
51865,6962,527,,Petite Pizza 2 Garnitures HIDE
51867,6962,527,,Moyenne Pizza 2 Garnitures HIDE
51869,6962,527,,Grande Pizza 2 Garnitures HIDE
51871,6962,527,,X-Grande Pizza 2 Garnitures HIDE
51873,6963,527,,2 Petite Pizzas 2 Garnitures avec Frite et Breuvage HIDE
51874,6963,527,,2 Petite Pizzas Toute Garnie avec Frite et Breuvage HIDE
51875,6963,527,,2 Moyenne Pizzas 2 Garnitures avec Frite et Breuvage HIDE
51876,6963,527,,2 Moyenne Pizzas Toute Garnie avec Frite et Breuvage HIDE
51879,6963,527,,2 Larges Pizzas 2 Garnitures avec Frite et Breuvage HIDE
51880,6963,527,,2 Larges Pizzas Toute Garnie avec Frite et Breuvage HIDE
51881,6963,527,,2 X-Larges Pizzas 2 Garnitures avec Frite et Breuvage HIDE
51882,6963,527,,2 X-Larges Pizzas Toute Garnie avec Frite et Breuvage HIDE
51894,6967,527,,2 Pizzas 2 Garnitures HIDE
51895,6967,527,,2 Pizzas Toute Garnie HIDE
51897,6216,504,,Meal For One
51898,5593,305,,Dinner For One
51900,6969,416,,Two for 25
51901,6969,416,,Three For 35
51904,6969,416,,Family Meal
51905,6971,451,,Two For 20
51906,6971,451,,Three For 30
51909,6971,451,,Family Meal
51912,6976,452,,Two For 25 HIDE
51913,6976,452,,Three For 35 HIDE
51914,6976,452,,Family Meal HIDE
51917,6978,453,,Two For 25 HIDE
51918,6978,453,,Three For 35 HIDE
51919,6978,453,,Family Meal HIDE
51922,6981,477,,Two For 20
51923,6981,477,,Three For 30
51924,6981,477,,Family Meal
51927,6983,483,,Two For 25
51928,6983,483,,Three For 35
51929,6983,483,,Family Meal
51950,2330,153,,2 Large Donairs or Shawarma
51964,1079,120,,Deal No.6A
51974,1079,120,,Gyro Special
52012,5814,473,,Large 3 Toppings HIDE
52017,6991,132,,Mega Bouffe HIDE
52055,5368,441,,Triple Threat Large
52117,4135,346,,1 Petite et Ailes
52118,4135,346,,1 Moyenne et Ailes
52119,4135,346,,1 Grande et Ailes
52120,7010,346,,1 Petite et Ailes HIDE
52121,7010,346,, 1 Moyenne et Ailes HIDE
52122,7010,346,,1 Grande et Ailes HIDE
52123,7011,346,,1 Petite et Nachos
52124,7011,346,,1 Moyenne et Nachos
52125,7011,346,,1 Grande et Nachos
52126,7012,346,,1 Petite et Nachos HIDE
52127,7012,346,,1 Moyenne et Nachos HIDE
52128,7012,346,,1 Grande et Nachos HIDE
52129,7013,346,,2 Moyennes No1
52130,7013,346,,2 Moyennes No 2 HIDE
52131,7013,346,,2 Grandes No1
52132,7013,346,,2 Grandes No2 HIDE
52133,7014,346,,2 Moyennes No 1
52134,7014,346,,2 Moyennes No 2 HIDE
52135,7014,346,,2 Grandes No 1
52136,7014,346,,2 Grandes No 2 HIDE
52137,7015,346,,2 Moyennes No 1
52138,7015,346,,2 Moyennes No 2 HIDE
52139,7015,346,,2 Grandes No 1
52140,7015,346,,2 Grandes No 2 HIDE
52141,7016,346,,1 Grande Pizza Garnie et Ailes
52145,4129,346,,Une Garniture
52148,4129,346,,Le Jeune Hockeyeur
52150,4129,346,,La Gatinoise Combinée
52152,4129,346,,La Classico Italiano
52154,4129,346,,L’Hawaïenne
52156,4129,346,,La 4 Saisons Végétarienne
52157,4129,346,,La Mexicaine
52158,4129,346,,La Tianna
52159,4129,346,,La Poulet BBQ
52161,4129,346,,La Québécoise Spécial Maison
52163,4129,346,,La Meat Lover
52164,4129,346,,La Canadienne
52165,4129,346,,La Française
52166,4129,346,,La Geo
52167,4129,346,,La Grecque
52168,4129,346,,L’Americaine
52169,4129,346,,La Dani
52170,4129,346,,La Chicago
52171,4129,346,,La Club
52172,4129,346,,Style Maniwaki
52173,4129,346,,La Montrealaise
52207,7005,551,,1 Topping
52208,7005,551,,2 Toppings
52209,7005,551,,3 Toppings
52210,7017,551,,Best Combo 2
52211,7017,551,,Best Combo 1 
52212,7017,551,,The Family Choice
52408,7199,549,,Create Your Own Pizza
52409,7199,549,,2 Toppings HIDE
52424,7060,549,,2 Toppings Pizzas
52425,7060,549,,4 Toppings Pizzas
52426,7060,549,,6 Toppings Pizzas
52433,7061,549,,Large Pizza
52436,7061,549,,Medium Pizza
52439,7061,549,,2 Large Pizzas
52441,7061,549,,2 Medium Pizzas
52711,7200,547,,1 Topping
52712,7200,547,,2 Toppings
52720,7123,547,,1 Topping
52721,7123,547,,2 Toppings
52722,7123,547,,3 Toppings
52730,7125,547,,Large Pizza and Wings
52731,7125,547,,Medium Pizza and Wings
52738,7125,547,,2 Large Pizza and Wings
52740,7125,547,,2 Medium Pizza and Wings
52844,7133,195,,Medium Pizza 2 Toppings HIDE
52845,7134,195,,Moyenne Pizza avec 2 Ingrédients HIDE
52846,7134,195,,2 Grande Pizza Tout Garnie HIDE
52847,7134,195,,2 Grande Pizza 2 Ingrédients HIDE
52848,7133,195,,2 Large Pizza All Dressed HIDE
52849,7133,195,,2 Large Pizzas 2 Toppings HIDE
52938,5815,473,,2. Family Deal with Wedges
53019,7175,565,,2 Assiettes et 2 Pitas
53216,2223,207,,2 Large Donairs
53217,2223,207,,2 Chicken Wraps HIDE
53328,7215,211,,Large 3 Toppings Pizza HIDE
53858,7273,572,,1 Topping
53860,7273,572,,2 Toppings
53871,7273,572,,3 Toppings
53872,7290,567,,Mr.Mozzarella
53873,7290,567,,The Canadian
53874,7290,567,,The Deli
53875,7290,567,,The Vegetarian
53876,7290,567,,The Greek
53877,7290,567,,The Hawaiian Delight
53878,7290,567,,The Katrina
53879,7290,567,,The Jordanna
53880,7290,567,,The New Orleans
53881,7290,567,,The Chicken Parmesan
53882,7290,567,,The Barbecued Chicken
53883,7290,567,,The Poutine Pizza
53884,7290,567,,The Mexican Pizza
53885,7290,567,,The Philly Cheese Steak
53886,7290,567,,The Tex-Mex
53887,7290,567,,The Shawarma Pizza
53888,7290,567,,The Bacon Double Cheeseburger
53889,7290,567,,The Pepperoni Double Decker
53890,7290,567,,The Pizza Lover’s Dream
53891,7290,567,,The Chicken Garlic Gourmet
53892,7290,567,,The Maui Zaui
53893,7290,567,,The Italian Garlic Supreme
53894,7290,567,,Julius Caesar
53895,7290,567,,The Burger pizza
53896,7290,567,,Thai Style Pizza
53897,7290,567,,Butter Chicken
53898,7290,567,,Santa Fe HIDE
53899,7290,567,,Smokin Italy
53900,7290,567,,Santorini Island HIDE
53901,7290,567,,Calgary Stampede
53902,7290,567,,Mamas Garden
53903,7290,567,,Alfredo Za
53904,7290,567,,Nacho Pizza
53905,7290,567,,Buffalo Chicken
53906,7290,567,,Club Za
53907,7291,567,,Cheese and Sauce
53908,7291,567,,One Item Pizza
53909,7291,567,,Two Items Pizza
53910,7291,567,,Three Items Pizza
53911,7292,567,,Cheese and Sauce
53912,7293,567,,Combo 1
53913,7293,567,,Combo 2
53914,7293,567,,Combo 3
53915,7293,567,,Combo 4
53918,7295,567,,Party 1
53919,7295,567,,Party 2
53920,7295,567,,Party 3
53937,7272,572,,Special 4
53938,7272,572,,Special 5
53939,7272,572,,Special 6
53941,7272,572,,Special 7
53947,7271,572,,Greek Special
54422,7346,571,,Classique - TRIO
54424,7346,571,,Traditionnelle - TRIO
54426,7346,571,,Mer Totale - TRIO
54428,7346,571,,Végétarienne - TRIO
54430,7346,571,,Poulet Sud Ouest - TRIO
54432,7346,571,,Poulet Chévre - TRIO
54434,7346,571,,Bavaroise - TRIO
54436,7346,571,,Californienne - TRIO
54438,7347,571,,Poulet Mango aux Épinards - TRIO
54440,7347,571,,César au Poulet Grillé - TRIO
54442,7347,571,,Jardinière au Chèvre - TRIO
54444,7347,571,,Orientale aux Crevettes - TRIO
54454,7348,571,,Poulet - TRIO
54458,7348,571,,Boeuf - TRIO
54463,7348,571,,Crevettes - TRIO
54468,7349,571,,Alfredo
54469,7349,571,,Alfredo - TRIO
54470,7349,571,,Arrabiata
54471,7349,571,,Arrabiata - TRIO
54472,7349,571,,Bolognaise
54473,7349,571,,Bolognaise - TRIO
54474,7349,571,,Pinky
54475,7349,571,,Pinky - TRIO
54476,7349,571,,Napolitaine
54477,7349,571,,Napolitaine - TRIO
54478,7349,571,,Pesto
54479,7349,571,,Pesto - TRIO
54480,7350,571,,Carbonara
54481,7350,571,,Carbonara - TRIO
54482,7350,571,,Boulettes de Viande
54483,7350,571,,Boulettes de Viande - TRIO
54484,7351,571,,Jardin Sauté
54485,7351,571,,Jardin Sauté - TRIO
54486,7351,571,,Forestière aux Épinards
54487,7351,571,,Forestière aux Épinards - TRIO
54488,7351,571,,Thai Crémeux
54489,7351,571,,Thai Crémeux - TRIO
54490,7351,571,,Primavera Pesto
54491,7351,571,,Primavera Pesto - TRIO
54492,7352,571,,Chèvre Florentine
54493,7352,571,,Chèvre Florentine - TRIO
54494,7352,571,,Pesto Fromagé
54495,7352,571,,Pesto Fromagé - TRIO
54496,7353,571,,Bavaroise
54497,7353,571,,Bavaroise - TRIO
54498,7353,571,,Calabrese
54499,7353,571,,Calabrese - TRIO
54500,7353,571,,Cochon Rose
54501,7353,571,,Cochon Rose - TRIO
54502,7353,571,,Poulet Bayou
54503,7353,571,,Poulet Bayou - TRIO
54504,7353,571,,Poulet Pesto
54505,7353,571,,Poulet Pesto - TRIO
54506,7353,571,,Smoke Meat
54507,7353,571,,Smoke Meat - TRIO
54508,7353,571,,Boeuf Chipotle
54509,7353,571,,Boeuf Chipotle - TRIO
54510,7354,571,,Crevette Belzébuth
54511,7354,571,,Crevette Belzébuth - TRIO
54512,7354,571,,St Jacques
54513,7354,571,,St Jacques - TRIO
54514,7354,571,,Saumon Boucané
54515,7354,571,,Saumon Boucané - TRIO
54516,7354,571,,Mer Totale
54517,7354,571,,Mer Totale - TRIO
54518,7355,571,,Coco-Thai
54519,7355,571,,Coco-Thai - TRIO
54520,7355,571,,Général Mia
54521,7355,571,,Général Mia - TRIO
54522,7355,571,,Le Teriyaki
54523,7355,571,,Le Teriyaki - TRIO
54524,7355,571,,Pad Thai
54525,7355,571,,Pad Thai - TRIO
54526,7355,571,,X-Treme Pinnoté
54527,7355,571,,X-Treme Pinnoté - TRIO
54590,7196,553,,One Topping
54591,7196,553,,Two Toppings
54606,7377,553,,Calzone
54610,7377,553,,Large Pizza and Wings
54611,7377,553,,Twin Pizzas
54613,7374,577,,2 House Special Pizzas
54615,7374,577,,2 Vegetarian Pizzas
54616,7374,577,,Spicy Chicken Delight 
54617,7374,577,,2 Spicy Chicken Delight Pizzas
54619,7374,577,,2 Catalina Special Pizzas
54621,7374,577,,2 Chef's Special Pizzas
54623,7374,577,,2 The Greek Pizzas
55205,6967,527,,2 Pizzas 2 Garnitures HIDED
55206,6967,527,,2 Pizzas Toute Garnie HIDED
55528,7516,562,,6 Plus 6 Free
55529,7516,562,,12 Plus 12 Free
55530,7516,562,,18 Plus 18 Free
55531,7516,562,,24 Plus 24 Free
55532,7516,562,,36 Plus 36 Free
55572,7499,590,,Pizza Combo 1
55574,7499,590,,Pizza Combo 2
55575,7499,590,,Pizza Combo 3
55576,7499,590,,Pizza Combo 4
55583,7500,590,,Create Your Own Pizza
55586,7501,590,,2 for 1 Pizza
55625,7531,562,,Small Pizza and Wings
55626,7531,562,,2 Small Pizzas and Wings
55627,7531,562,,Medium Pizza and Wings
55628,7531,562,,2 Medium Pizzas with Wings
55629,7531,562,,Large Pizza with Wings
55630,7531,562,,2 Large Pizzas with Wings
55766,7555,585,,Petit Combo
55767,7555,585,,Duo Combo
55771,7555,585,,Boîte Express
55780,7555,585,,Combo Familial
55784,7555,585,,Combo Gourmet
55909,7579,585,,Small Combo
55917,7579,585,,Duo Combo
55923,7579,585,,Express Box
55933,7579,585,,Combo Familial
55939,7579,585,,Combo Gourmet
56054,7593,562,,2 for 1 Deal One Topping Pizza
56055,7593,562,,2 for 1 Deal Two Toppings Pizza
56056,7593,562,,2 for 1 Deal Three Toppings Pizza
56071,7111,557,,Combo 2
56072,7111,557,,Combo 1
56077,7801,562,,Any 2 Sandwiches
56541,7661,596,,Double with 5 Toppings
56546,7661,596,,Triple with 5 Toppings
56548,7662,596,,Combinations with 6 Toppings
56549,7662,596,,Combination with 6 Toppings
56593,7670,564,,Combo 2 pizzas classiques 
56594,7670,564,,Combo 2 pizzas Spécialités 
56877,7703,600,,1 Topping
56878,7703,600,,2 Toppings
56879,7703,600,,3 Toppings
56895,7704,600,,Family Deal with Fries
56896,7704,600,,Large Pizza Deal With Papa Box
56898,7704,600,,Small Pizza Combo with Poutine
56899,7704,600,,Small Pizza Combo with Wings
56900,7704,600,,Family Deal with Chef Salad
56901,7704,600,,Medium Pizza Combo with Poutine
56902,7704,600,,Medium Pizza Combo with Wings
56903,7707,600,,Mini Feast HIDE
56906,7695,600,,One Topping
56907,7707,600,,Feast HIDE
56908,7707,600,,Great Feast HIDE
56922,7708,577,,Family Pack 1
56925,3631,257,,Donair Special HIDE
56927,7708,577,,3 Pizzas with 2 Toppings
56928,7708,577,,Family Pack 2
56929,7708,577,,Family Pack 3
56930,7708,577,,Family Pack 4
56932,7708,577,,Combo 1
56933,7708,577,,Double Deal 1
56934,7708,577,,Double Deal 2
56935,7708,577,,Double Deal 3
56936,3513,257,,Dani Boy Special
