combo_group_id,combo_rules
77,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""10 wings 1;10 wings 2""}"
79,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""asd""}"
80,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": """", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 2, ""display_header"": ""Custom Ingredients""}, ""side_dishes"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 5, ""display_header"": ""Side Dish""}, ""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 7, ""display_header"": ""Extras""}}}"
81,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""1st. Pizza;2nd.Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 1, ""max"": 0, ""free_quantity"": 1, ""display_order"": 2, ""display_header"": ""First topping free.""}}}"
82,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""How about a dip !""}"
83,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""1st. Pizza;2nd.Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 2, ""max"": 0, ""free_quantity"": 2, ""display_order"": 2, ""display_header"": ""2 toppings free.""}}}"
84,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""1st. Pizza;2nd.Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 0, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": ""3 toppings free.""}}}"
85,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": """"}"
86,"{""item_count"": 1, ""show_pizza_icons"": true, ""display_header"": ""3 Topping Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 3, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": ""Choose 3  Free Toppings""}}}"
87,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Wing Sauce""}"
90,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Large Three Topping Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 0, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": ""Custom Ingredients""}}}"
92,"{""item_count"": 1, ""show_pizza_icons"": true, ""display_header"": """", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 0, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": ""First 3 Toppings Free""}}}"
93,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Please choose your salad.""}"
94,"{""item_count"": 1, ""show_pizza_icons"": true, ""display_header"": """", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 0, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": ""First 3 Toppings Free!""}, ""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 7, ""display_header"": ""Extras""}}}"
95,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 2, ""max"": 0, ""free_quantity"": 2, ""display_order"": 2, ""display_header"": ""First 2 Toppings free!""}}}"
96,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": """"}"
97,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 0, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": ""First 3 Toppings free!""}}}"
98,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 0, ""free_quantity"": 2, ""display_order"": 2, ""display_header"": ""First 3 Toppings free!""}, ""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 3, ""display_header"": ""Would you like to add cheese?""}}}"
99,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""First Donair;Second Donair""}"
100,"{""item_count"": 4, ""show_pizza_icons"": false, ""display_header"": ""First Sandwich;Second Sandwich;Third Sandwich;Fourth Sandwich"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 2, ""display_header"": ""Custom Ingredients""}}}"
