"id";"v1_id";"added_by";"added_at";"suspend_operation";"suspended_at";"name";"active";"pending";"updated_at";"updated_by"
1172;281;0;"2016-02-25 08:08:34";"0";0;"Lorenzo's Pizzeria - Pinecrest (closed)";"n";"n";"";0
1173;283;0;"2016-02-25 08:08:34";"0";0;"Porteree Pub & Restaurant (closed dropped)";"n";"n";"";0
1174;284;0;"2016-02-25 08:08:34";"0";0;"Miki's Pizzeria (Dropped)";"n";"n";"";0
1175;285;0;"2016-02-25 08:08:34";"0";0;"Rosabella Pizza (dropped changed to yessen)";"n";"n";"";0
1176;286;0;"2016-02-25 08:08:34";"0";0;"Pho Xua";"n";"n";"";0
1177;287;0;"2016-02-25 08:08:34";"0";0;"Basmati";"n";"n";"";0
1178;288;0;"2016-02-25 08:08:34";"0";0;"Habaybna  (dropped)";"n";"n";"";0
1179;289;0;"2016-02-25 08:08:34";"0";0;"Shawarma Rayan (DROPPED)";"n";"n";"";0
1180;290;0;"2016-02-25 08:08:34";"0";0;"Nhu Lan (dropped)";"n";"n";"";0
1181;291;0;"2016-02-25 08:08:34";"0";0;"Shawarma Station";"n";"n";"";0
1182;292;0;"2016-02-25 08:08:34";"0";0;"Silk Road Kabob House - Kanata ( closed)";"n";"n";"";0
1183;293;0;"2016-02-25 08:08:34";"0";0;"Ariana Kabab House(dropped)";"n";"n";"";0
1184;294;0;"2016-02-25 08:08:34";"0";0;"Hong Kong Chinese Food Takeout";"n";"n";"";0
1185;295;0;"2016-02-25 08:08:34";"0";0;"OpenRice Asian Fusion & Lounge";"n";"n";"";0
1186;0;0;"2016-02-25 08:08:34";"0";0;"King Wok";"n";"n";"";0
1187;297;0;"2016-02-25 08:08:34";"0";0;"Buffalo Bills Wings Laval";"n";"n";"";0
1188;298;0;"2016-02-25 08:08:34";"0";0;"Lac Vien Vietnamese Restaurant - Scarborough";"n";"n";"";0
1189;299;0;"2016-02-25 08:08:34";"0";0;"Lac Vien Vietnamese Restaurant";"n";"n";"";0
1190;300;0;"2016-02-25 08:08:34";"0";0;"Toto Pizzeria Lachine(DROPPED)";"n";"n";"";0
1191;303;0;"2016-02-25 08:08:34";"0";0;"Colonnade City Pizza";"n";"n";"";0
1192;0;0;"2016-02-25 08:08:34";"0";0;"Hockey Sushi ";"n";"n";"";0
1193;305;0;"2016-02-25 08:08:34";"0";0;"Urban Turban";"n";"n";"";0
1194;306;0;"2016-02-25 08:08:34";"0";0;"Winner House";"n";"n";"";0
1195;307;0;"2016-02-25 08:08:34";"0";0;"La Shish (dropped)";"n";"n";"";0
1196;308;0;"2016-02-25 08:08:34";"0";0;"Gloria's Pizza";"n";"n";"";0
1197;310;0;"2016-02-25 08:08:34";"0";0;"Pho Com Vietnam (moved dropped)";"n";"n";"";0
1198;311;0;"2016-02-25 08:08:34";"0";0;"Hao Sushi (On Hold)";"n";"n";"";0
1199;312;0;"2016-02-25 08:08:34";"0";0;"Lucky King Take Out";"n";"y";"";0
1200;313;0;"2016-02-25 08:08:34";"0";0;"Indian Biriyani House";"n";"n";"";0
1201;314;0;"2016-02-25 08:08:34";"0";0;"Brother Wu";"n";"n";"";0
1202;315;0;"2016-02-25 08:08:34";"0";0;"Jwaya (DROPPED)";"n";"n";"";0
1203;0;0;"2016-02-25 08:08:34";"0";0;"Red Chili Garden";"n";"n";"";0
1204;317;0;"2016-02-25 08:08:34";"0";0;"Pho Orchid";"n";"n";"";0
1205;318;0;"2016-02-25 08:08:34";"0";0;"Indian Punjabi Clay Oven";"n";"y";"";0
1206;319;0;"2016-02-25 08:08:34";"0";0;"Al-Amine (DROPPED)";"n";"n";"";0
1207;320;0;"2016-02-25 08:08:34";"0";0;"Metro Pizza (dropped)";"n";"n";"";0
1208;321;0;"2016-02-25 08:08:34";"0";0;"Forno's Pizzeria (Dropped)";"n";"n";"";0
1209;322;0;"2016-02-25 08:08:34";"0";0;"Eastern City Restaurant (sold)";"n";"n";"";0
1210;323;0;"2016-02-25 08:08:34";"0";0;"Vietnamese Noodle House";"n";"n";"";0
1211;0;0;"2016-02-25 08:08:34";"0";0;"Zeewan Eatery";"n";"n";"";0
1212;325;0;"2016-02-25 08:08:34";"0";0;"Pavarazzi";"n";"n";"";0
1213;0;0;"2016-02-25 08:08:34";"0";0;"Al's Diner";"n";"n";"";0
1214;327;0;"2016-02-25 08:08:34";"0";0;"Lai Lai Chinese Food";"n";"n";"";0
1215;328;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1216;329;0;"2016-02-25 08:08:34";"0";0;"Jardin Thai ( dropped)";"n";"n";"";0
1217;330;0;"2016-02-25 08:08:34";"0";0;"Pizza Dorval Express (dropped)";"n";"n";"";0
1218;331;0;"2016-02-25 08:08:34";"0";0;"test";"n";"n";"";0
1219;332;0;"2016-02-25 08:08:34";"0";0;"Silk Road Kabob House";"n";"n";"";0
1220;333;0;"2016-02-25 08:08:34";"0";0;"Chez Antonio Restaurant(sold now chez villa)";"n";"n";"";0
1221;334;0;"2016-02-25 08:08:34";"0";0;"Colonnade Pizza";"n";"n";"";0
1222;335;0;"2016-02-25 08:08:34";"0";0;"Aahar The Taste of India";"n";"n";"";0
1223;336;0;"2016-02-25 08:08:34";"0";0;"Wing Wah Take Out & Delivery (closed)";"n";"n";"";0
1224;337;0;"2016-02-25 08:08:34";"0";0;"Pho Bo Ga King - Somerset";"n";"n";"";0
1225;339;0;"2016-02-25 08:08:34";"0";0;"El-Indio Inc (CLOSED)";"n";"n";"";0
1226;340;0;"2016-02-25 08:08:34";"0";0;"Cheezy Pizza & Pasta";"n";"n";"";0
1227;341;0;"2016-02-25 08:08:34";"0";0;"Tandoori Fusion";"n";"n";"";0
1228;342;0;"2016-02-25 08:08:34";"0";0;"Chez Raffino (DROPPED)";"n";"n";"";0
1229;343;0;"2016-02-25 08:08:34";"0";0;"Du Barry Restaurant (CLOSED)";"n";"n";"";0
1230;344;0;"2016-02-25 08:08:34";"0";0;"Mont Liban Bakery & Shawarma";"n";"n";"";0
1231;345;0;"2016-02-25 08:08:34";"0";0;"Maximo's Pizza & Donair (dropped sold )";"n";"n";"";0
1232;346;0;"2016-02-25 08:08:34";"0";0;"Papa Pizza - Gatineau Est";"n";"n";"";0
1233;347;0;"2016-02-25 08:08:34";"0";0;"Buffalo Bill Wings Montreal";"n";"n";"";0
1234;348;0;"2016-02-25 08:08:34";"0";0;"Buffalo Bill";"n";"n";"";0
1235;349;0;"2016-02-25 08:08:34";"0";0;"Pizz'Ami (dropped)";"n";"n";"";0
1236;350;0;"2016-02-25 08:08:34";"0";0;"Erman Pizza";"n";"n";"";0
1237;351;0;"2016-02-25 08:08:34";"0";0;"Roma Pizza and Donair (DROPPED)";"n";"n";"";0
1238;352;0;"2016-02-25 08:08:34";"0";0;"Poukham Thai Cuisine ( closed )";"n";"n";"";0
