             course             |                 dish_name                  |                                                               prices                                                                | modifier_groups_count 
 Cake by Slice                  | Raspberry Cheesecake                       | $7.99                                                                                                                               |                     0
 Cake by Slice                  | Oreo Cake                                  | $7.99                                                                                                                               |                     0
 Cake by Slice                  | Carrot Cake                                | $7.99                                                                                                                               |                     0
 Cake by Slice                  | Chocolate Bomb                             | $7.99                                                                                                                               |                     0
 Cake by Slice                  | Red Velvet Cake                            | $7.99                                                                                                                               |                     0
 Drinks                         | Ginger Ale                                 | $3.25                                                                                                                               |                     0
 Drinks                         | Ice Tea                                    | $3.25                                                                                                                               |                     0
 Drinks                         | Pepsi                                      | $3.25                                                                                                                               |                     0
 Drinks                         | Diet Pepsi                                 | $3.25                                                                                                                               |                     0
 Drinks                         | 7 Up                                       | $3.25                                                                                                                               |                     0
 Drinks                         | Orange Crush                               | $3.25                                                                                                                               |                     0
 Drinks                         | Grape Crush                                | $3.25                                                                                                                               |                     0
 Drinks                         | Cream Soda                                 | $3.25                                                                                                                               |                     0
 Drinks                         | Mugs Root Beer                             | $3.25                                                                                                                               |                     0
 Drinks                         | Dole Orange Juice                          | $2.49                                                                                                                               |                     0
 Drinks                         | Dole Apple Juice                           | $2.49                                                                                                                               |                     0
 Drinks                         | Aquafina Water                             | $2.99                                                                                                                               |                     0
 Drinks                         | Basil Seed Drinks (290ml ) HIDE            | Cocktail: $3.25, Kiwi: $3.25, Mango: $3.25, Orange: $3.25, Passion Fruit: $3.25, Peach: $3.25, Pineapple: $3.25, Pomegranate: $3.25 |                     0
(111 rows)

