v2_id,v1_id,name,address,delivery_fee,is_complex,coords,min_order_value
1089,179,Number One Chinese Take Out,988 Wellington St,0,n,"45.4138066695,-75.7257127762|45.4127823838,-75.732922554|45.4124208668,-75.7414197922|45.4094683912,-75.7503461838|45.4059432947,-75.7532215118|45.404557299,-75.7596588135|45.4021166589,-75.7605171204|45.401574280028,-75.760946273754|45.400640171035,-75.762577056886|45.399254045789,-75.765581130955|45.393377700305,-75.767211914025|45.381080600763,-75.780043602001|45.361152415928,-75.767641067469|45.3774632976,-75.7457542419|45.3676954233,-75.7415056229|45.3666099998,-75.7323646545|45.366037129,-75.7282447815|45.3720273627,-75.7146835327|45.3753435514,-75.7061004639|45.3824576276,-75.7022380829|45.3940914332,-75.7017230988|45.3939708879,-75.6951999664|45.3942722506,-75.6905651093|45.3960803934,-75.6865310669|45.397466597,-75.6802654266|45.4027097551,-75.6796646118|45.4062049236,-75.6814670563|45.4116882866,-75.6834411621|45.417653098891,-75.67125320436|45.418918281123,-75.663442611697|45.430363879487,-75.68241119383|45.439217565934,-75.695886611923|45.43373687622,-75.701208114577|45.4225329313,-75.7100486755|45.4169301249,-75.7219791412",\N
1093,183,Aylmer BBQ,"134, rue Principale",0,n,"45.402148297548,-75.805149078361|45.394916156088,-75.8053207397|45.3759876726,-75.8056640625|45.3768317527,-75.8384513855|45.3899736604,-75.8720970154|45.4043177595,-75.8873748779|45.409940899034,-75.885658264171|45.412592086536,-75.881881713867|45.414320313614,-75.878620147707|45.423477723557,-75.876216888381|45.424803015124,-75.85218429566|45.426128275544,-75.835361480717|45.426730656418,-75.823516845693|45.427573978787,-75.819396972693|45.428135181734,-75.816993713384|45.428556833982,-75.814247131376|45.428436362259,-75.812530517584|45.430183177481,-75.810127258291|45.421448560541,-75.808839797962|45.41283309746,-75.806865692176|45.408976799095,-75.805921554561",\N
1094,184,Papa Pizza - Hull,"574, boul Saint-Joseph",0,n,"45.4513404449,-75.6942558289|45.444355479,-75.7023239136|45.4239978018,-75.7059288025|45.4160454723,-75.728931427|45.4143584706,-75.7510757446|45.3850689111,-75.806350708|45.4212266626,-75.8108139038|45.4633814581,-75.8230018616|45.4845673965,-75.7951927185|45.4872150788,-75.7491874695|45.4638630452,-75.7265281677|45.4572408626,-75.715713501",\N
1096,187,Cathay Restaurants,1423 Woodroffe Ave,0,n,"45.3642898368,-75.7852363586|45.3610333078,-75.7936477661|45.3515038684,-75.8024024963|45.3428174119,-75.8092689514|45.3349743271,-75.8048057556|45.3325608517,-75.7970809937|45.3221817354,-75.7936477661|45.3160257797,-75.7891845703|45.3221817354,-75.774936676|45.3226645271,-75.7648086548|45.3270094679,-75.7505607605|45.3313540754,-75.7371711731|45.3340089493,-75.7229232788|45.3523483139,-75.7033538818|45.3594652825,-75.7086753845|45.372731817,-75.7160568237|45.3891297765,-75.724811554|45.3831016696,-75.7423210144|45.375022996,-75.7622337341",\N
1099,190,Milano,2430 Bank St,0,n,"45.3893708875,-75.677947998|45.3929874287,-75.675201416|45.3928668811,-75.6686782837|45.3939518006,-75.6554603577|45.3944339804,-75.6412124634|45.3945545247,-75.6328010559|45.3956394119,-75.6269645691|45.3963626585,-75.6233596802|45.3978091238,-75.6171798706|45.3928668811,-75.6063652039|45.3820165399,-75.6007003784|45.359224044,-75.5879974365|45.3563291015,-75.5861091614|45.3529514815,-75.5843925476|45.3478846735,-75.5813026428|45.3399216302,-75.5759811401|45.3359396885,-75.5830192566|45.331836789,-75.5914306641|45.3198884183,-75.5830192566|45.3012970545,-75.5728912354|45.2950180739,-75.5888557434|45.2855982994,-75.6079101562|45.2933274622,-75.6094551086|45.3099898816,-75.6206130981|45.3188020796,-75.6255912781|45.3132493456,-75.6381225586|45.3055229,-75.6564903259|45.2977954011,-75.6748580933|45.2963463778,-75.6789779663|45.3192848984,-75.6896209717|45.3363016947,-75.6940841675|45.3466782238,-75.6983757019|45.353313379,-75.702495575|45.3581384579,-75.6935691833|45.3662195434,-75.6954574585|45.3781581389,-75.697517395",\N
1101,192,Lorenzo's Pizzeria - Vanier,94 Montreal Rd,0,n,"45.4599721056,-75.6800079346|45.4627413424,-75.6609535217|45.4667143576,-75.6295394897|45.4625005446,-75.6222438812|45.4558370617,-75.6196689606|45.4437342168,-75.6129741669|45.4333152617,-75.6066226959|45.4321517927,-75.6080818176|45.4292605838,-75.6115150452|45.4254054082,-75.6204414368|45.422092158198,-75.624711513476|45.411458318359,-75.625097751605|45.409982074716,-75.628616809884|45.4078128303,-75.6348609924|45.4103436073,-75.652885437|45.4096205398,-75.6607818604|45.405553112145,-75.66316366192|45.404694395538,-75.667154788941|45.406246102,-75.6703948975|45.4131152807,-75.6707382202|45.4103436073,-75.6739139557|45.4072293285,-75.6723690033|45.4031918602,-75.6698799133|45.3998170384,-75.6704807281|45.402197514,-75.6745147705|45.4015044745,-75.6796646118|45.4012031503,-75.6877756119|45.4081934574,-75.692024231|45.4042559911,-75.7021093369|45.423114767,-75.7224082947|45.4288374313,-75.7216358185|45.4376517089,-75.7056713104",\N
1108,200,The Original Georgie's,1661 Carling Ave,0,n,"45.404920373,-75.7648086548|45.4102230949,-75.7430076599|45.4154048194,-75.728931427|45.4177133464,-75.7222366333|45.4200629454,-75.7139968872|45.4177735937,-75.7091903687|45.4136766274,-75.7067871094|45.4066267396,-75.7025814056|45.4008415592,-75.6988048553|45.3939106151,-75.6952857971|45.39083662,-75.6983757019|45.3857541166,-75.6982040405|45.3798462235,-75.7011222839|45.368993383,-75.6982040405|45.3644104472,-75.705242157|45.3577765931,-75.7194900513|45.3496943017,-75.7351112366|45.3429380681,-75.7527923584|45.3418521696,-75.7558822632|45.3369050352,-75.752620697|45.3349743289,-75.7742500305|45.341610856,-75.7771682739|45.3378703637,-75.7862663269|45.3477640315,-75.7905578613|45.3446272021,-75.8075523376|45.3599477583,-75.8185386658|45.3849101697,-75.7890129089",\N
1112,204,Milano,14 Main St E,0,n,"44.9256752912,-76.0052204132|44.9138238916,-75.9911441803|44.8924852119,-75.9769821167|44.8822690241,-75.9971523285|44.8531916116,-76.025261879|44.8992341977,-76.0665035248|44.9100552421,-76.0772323608|44.9174099576,-76.0743141174|44.9185647448,-76.0649585724",\N
1113,205,Milano,777 Principale St,0,n,"45.273920035434,-75.059967041016|45.259059538932,-75.094985961914|45.242986494379,-75.152149200439|45.235129592319,-75.198841094971|45.290708922357,-75.232830047607|45.302180483361,-75.190773010254|45.328737293721,-75.200729370117|45.341769718941,-75.162620544434|45.34828480684,-75.127944946289|45.379160946409,-75.065460205078|45.328495924229,-75.02082824707|45.33597790023,-74.993362426758|45.323185535166,-74.983749389648|45.309907384554,-75.007438659668|45.302663445542,-75.030784606934|45.295660091233,-75.05069732666",\N
1113,205,Milano,777 Principale St,0,n,"45.325599410089,-74.939804077148|45.325116643333,-74.905471801758|45.300490083327,-74.889678955078|45.281650787559,-74.884872436523|45.265221680327,-74.882125854492|45.253621799919,-74.892425537109|45.229931352327,-74.940490722656|45.222193556525,-74.983749389648|45.235250475964,-75.021514892578|45.231382071782,-75.057907104492|45.227513404283,-75.083999633789|45.212519830612,-75.111465454102|45.204779664951,-75.138244628906|45.227029802331,-75.219268798828|45.257972032787,-75.223388671875|45.297109132061,-75.268020629883|45.34297627327,-75.293426513672|45.358176654683,-75.249137878418|45.353592842598,-75.210342407227|45.354557886524,-75.18424987793|45.363483762702,-75.15438079834|45.377472843109,-75.116271972656|45.391217361483,-75.079193115234|45.402065936591,-75.069580078125|45.40519958165,-75.049324035645|45.398932117713,-75.027008056641|45.379160946409,-74.993362426758|45.36686075407,-74.971389770508|45.353110314463,-74.95662689209|45.344665406131,-74.949760437012",\N
1114,206,Milano,3796 Champlain Rd,0,n,"45.5404271469,-75.3480148315|45.5596610766,-75.2982330322|45.5834539523,-75.2292251587|45.5836942329,-75.1650238037|45.562064855,-75.1162719727|45.5012176475,-75.0757598877|45.5062707115,-74.9988555908|45.4802786934,-74.9521636963|45.4364501882,-74.9209213257|45.4092208384,-74.923324585|45.3872832342,-75.036277771|45.3597889427,-75.1114654541|45.3711259279,-75.2089691162|45.3819783592,-75.2735137939|45.4289814941,-75.3009796143|45.5113233219,-75.3500747681",\N
1115,207,Milano,339 Dalhousie St,0,n,"45.4214485597,-75.7254123688|45.4272316296,-75.7183742523|45.435061926,-75.71434021|45.4439148754,-75.7046413422|45.457462619,-75.6844711304|45.462459409059,-75.657606124847|45.4533685323,-75.654172897336|45.440723155837,-75.646705627412|45.437772160101,-75.644903182985|45.434640322329,-75.643014907834|45.431689008428,-75.64104080203|45.42789423528,-75.639495849634|45.420364168093,-75.63494682312|45.4111459997,-75.6586360931|45.407410104,-75.6630992889|45.3985514282,-75.6669616699|45.3984308924,-75.6718540192|45.4006004971,-75.6787204742|45.4059638844,-75.6814670563|45.4107844722,-75.6830120087|45.404698412,-75.7011222839|45.4031918602,-75.7078170776|45.4184965569,-75.7206058502",\N
1116,208,Milano,2241 St Laurent Blvd,0,n,"45.4160073146,-75.6624984741|45.4186582174,-75.6455039978|45.4205860685,-75.6281661987|45.4278149238,-75.6134033203|45.439800737197,-75.591087341267|45.44094497798,-75.5710887909|45.434320102191,-75.546455383315|45.413476791431,-75.572547912561|45.3699581625,-75.5615615845|45.3677873815,-75.5629348755|45.3475227413,-75.6072235107|45.3635661799,-75.6206130981|45.3694757757,-75.6403541565|45.3647722715,-75.6585502625|45.3701993571,-75.6631851196|45.3880447643,-75.6782913208|45.4025098803,-75.6702232361",\N
1117,209,Milano,990 River Rd,0,n,"45.2932067022,-75.6925392151|45.296708638941,-75.686187744175|45.298278402523,-75.681037902829|45.300089614055,-75.676918029787|45.304696873404,-75.656147003162|45.302765069306,-75.6411266327|45.299444627195,-75.624132156332|45.303190678517,-75.597782135054|45.306691998707,-75.585079193114|45.2789169636,-75.5670547485|45.281332724,-75.5227661133|45.2687696465,-75.5148696899|45.226227823915,-75.543708801236|45.211959514221,-75.542335510304|45.197445696564,-75.554008483868|45.182928176,-75.577354431164|45.171311489793,-75.590744018547|45.165260195692,-75.616836547819|45.154003078795,-75.634002685534|45.147102456277,-75.669021606409|45.153563239783,-75.704727172845|45.161552452255,-75.747985839889|45.198171475423,-75.788154602026|45.219698702782,-75.77888488772|45.225865114669,-75.749702453605|45.238195931885,-75.727729797374|45.2627287155,-75.7085037231|45.280728793557,-75.699577331584",\N
1119,211,Milano,3050 Woodroffe Ave,0,n,"45.3068509577,-75.7134819031|45.3002103576,-75.6987190247|45.287893004,-75.6976890564|45.2783512543,-75.7011222839|45.2691703351,-75.7040405273|45.2574504253,-75.7057571411|45.248024413,-75.7061004639|45.2407725697,-75.719833374|45.2372671803,-75.7357978821|45.2451237868,-75.7612037659|45.2570879153,-75.7696151733|45.2688078999,-75.7843780518|45.2825788098,-75.7780265808|45.296950142,-75.7436943054",\N
1121,213,Milano,2600 County Rd 43,0,n,"45.030587353674,-75.62710404658|45.038836390353,-75.646673443553|45.041990119547,-75.672765972849|45.033984159842,-75.683752300974|45.043930789571,-75.681005718943|45.052662990018,-75.676885845896|45.047569368431,-75.688902142283|45.002920143393,-75.751730203629|44.989809956062,-75.749670267105|44.969410369478,-75.752073526382|44.966738457594,-75.723921060562|44.961880117116,-75.699201822281|44.964552255295,-75.68855881691|44.958479033971,-75.685812234879|44.958964915335,-75.670706033707|44.95726431256,-75.638777020213|44.977911079258,-75.634313824412|44.995879860106,-75.632253887889|45.00607585164,-75.637747051951|45.008017739543,-75.635343792674|45.021851785342,-75.628134014842|45.032043154284,-75.626417401072",\N
