v3_id,restaurant_name,street_address,legacy_v1_id
180,Indian Punjabi Clay Oven,6-4055 Carling Ave.,318
646,JC Royal Thai Cuisine,100 Jamieson Pkwy Unit 11,874
328,JN Pizza,1663 Cyrville Rd,489
636,Joes Family Pizzeria,284 Pembroke St W,863
798,Kabylie Pizza,355 Bd Gréber,1042
44,Kiki Lebanese Pineview Pizza,2045 Meadowbrook Rd,142
727,La Maison du Burger,574 Boulevard Saint-Joseph,965
721,La Maison Pho,4 Rue Belmont,959
825,La Nawab V2,1 Rue Cholette,1070
715,La Poutinerie Ogilvie,1443 Ogilvie Rd,952
1010,Lemongrass Thai Cuisine,331 Elgin St,219
491,Light of India,730 Bank St,695
756,Little Gyros Greek Grill,10 Townsend Drive,998
77,Lorenzo's Pizzeria - Vanier,94 Montreal Rd,192
267,Lucky Fortune,1970 Trim Rd,413
174,Lucky King Take Out,1134 Cadboro Rd,312
8,Lucky Star Chinese Food,1615 Orleans Blvd.,90
12,Mama Rosa,375 Des Epinettes Ave,94
118,Mano City Pizza,5511 Manotick Main St,238
614,Marina Pizza des Flandres,22 des Flandres,838
48,Merivale Pizza & Wings,1610 Merivale Rd,146
842,Milano,178 King St E,1089
55,Milano,1234 Merivale Rd Unit 3,161
190,Milano,6179 Perth St.,328
565,Milano,4188 Spratt Rd,785
569,Milano,2529 Baseline,789
586,Milano,81 Madawaska Street,807
601,Milano,1589 Main St,824
624,Milano,350 St-Philippe Street,850
651,Milano,2 Woodfield Dr,879
660,Milano,54 Wilson St W,889
593,Milano,1824 Beachburg,815
680,Milano,643 Boulevard Saint-René O,913
701,Milano,147 Main Street Unit 3,937
31,Milano,876 Montreal Rd.,127
57,Milano,3848 Innes Rd,164
59,Milano,385 Tompkins Ave,172
75,Milano,2430 Bank St,190
88,Milano,14 Main St E,204
89,Milano,777 Principale St,205
90,Milano,3796 Champlain Rd,206
91,Milano,339 Dalhousie St,207
92,Milano,2241 St Laurent Blvd,208
93,Milano,990 River Rd,209
95,Milano,3050 Woodroffe Ave,211
97,Milano,2600 County Rd 43,213
349,Milano,5516 Osgoode Main S,512
350,Milano,506 Main St W,513
123,Milano,26 Bridge St,245
126,Milano,471 Hazeldean Rd,248
749,Milano,105 Broadway West,987
751,Milano,455 Boulevard Riel,989
265,Milano,2 Pembroke St ( Highway 17 ),411
818,Milano,2609 Laurier St,1062
819,Milano,6594 4th Line Rd,1063
821,Milano,83 Mill Street,1065
835,Milano,1216 Bank St,1082
837,Milano,6500 Russell Road,1084
840,Milano,1896 Prince of Wales,1087
205,Mont Liban Bakery & Shawarma,351 Montreal Rd,344
1011,Mozza Pizza Gatineau,425 boul La Vérendrye E,132
644,Mozza Pizza Hull,214 Boul de la Cité-des-Jeunes,872
47,Mr Mozzarella - Nepean,1433 Woodroffe Ave,145
845,Mykonos Greek Grill,6594 Fourth Line Rd,1092
846,Mykonos Greek Grill,2600 County Rd 43,1093
801,Nachos Loco Gatineau,643 Boulevard Saint-René O,1045
790,Nachos Loco Hull,455 Boulevard Riel,1033
515,Napolis,81 Richmond Rd,721
502,New Hong Kong,1433 Woodroffe Ave,707
15,New Mee Fung Restaurant,350 Booth St,101
234,New Mukut Restaurant Indian Cuisine,1968 Portobello Blvd,374
65,Number One Chinese Take Out,988 Wellington St,179
714,Ogilvie Pizza,631 Montreal Rd,951
807,Oh My Grill,169 York St,1051
681,Oka's Hull,1030 Boulevard Saint-Joseph,914
245,Orchid Sushi,445 Laurier Ave W,387
521,Palermo Pizzeria,25 Tapiola Cres,729
797,Papa Burger,22 rue des Flandres,1041
822,Papa Burger Maloney,253 Boul Maloney E,1066
810,Papa Grecque Cantley,393 Montée de la Source,1054
540,Papa Grecque des Flandres,22 rue des flandres,758
616,Papa Grecque Maloney,253 Boul Maloney,840
437,Papa Joe's Fried Chicken - Downtown,527 Bronson Ave,612
13,Papa Joe's Pizza - Downtown,527 Bronson Ave,95
70,Papa Pizza - Hull,574 boul Saint-Joseph,184
602,Papa Pizza Cantley,393 Montée de la Source,825
795,Papa Pizza Chem. de Masson,855 Chem. de Masson,1039
1012,Papa Pizza Des Flandres,22 rue des Flandres,231
1013,Papa Pizza Maloney,253 boul Maloney,346
1014,Papa Pizza Val-Des-Monts,1797 rte du Carrefour,703
712,Patate Lou Lou,29 Chemin Eardley,948
