"id","restaurant_id","day_start","time_start","day_stop","time_stop","type","enabled","created_at","updated_at"
83,0,5,"16:00:00",5,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
84,0,6,"16:00:00",6,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
85,0,7,"16:00:00",7,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
86,0,2,"11:00:00",2,"15:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
87,0,2,"16:00:00",2,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
88,0,3,"11:00:00",3,"15:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
89,0,3,"16:00:00",3,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
90,0,4,"11:00:00",4,"15:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
91,0,4,"16:00:00",4,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
92,0,5,"11:00:00",5,"15:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
93,0,5,"16:00:00",5,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
94,0,6,"12:00:00",6,"20:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
95,0,7,"16:00:00",7,"20:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
96,0,1,"15:00:00",1,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
97,0,2,"15:00:00",2,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
98,0,3,"15:00:00",3,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
99,0,4,"15:00:00",4,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
100,0,5,"15:00:00",5,"23:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
101,0,6,"15:00:00",6,"23:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
102,0,7,"15:00:00",7,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
103,0,1,"11:00:00",1,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
104,0,2,"11:00:00",2,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
105,0,3,"11:00:00",3,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
106,0,4,"11:00:00",4,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
107,0,5,"00:00:00",5,"01:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
108,0,5,"11:00:00",5,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
109,0,6,"00:00:00",6,"02:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
110,0,6,"11:00:00",6,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
111,0,7,"00:00:00",7,"02:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
112,0,7,"15:00:00",7,"23:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
113,0,1,"12:00:00",1,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
114,0,2,"12:00:00",2,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
115,0,3,"12:00:00",3,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
116,0,4,"12:00:00",4,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
117,0,5,"12:00:00",5,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
118,0,6,"12:00:00",6,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
119,0,7,"16:00:00",7,"20:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
120,0,1,"11:30:00",1,"20:30:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
121,0,3,"11:30:00",3,"20:30:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
122,0,4,"11:30:00",4,"20:30:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
123,0,5,"11:30:00",5,"20:30:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
124,0,6,"11:30:00",6,"20:30:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
125,0,7,"15:00:00",7,"20:30:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
126,0,1,"11:00:00",1,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
127,0,2,"11:00:00",2,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
128,0,3,"11:00:00",3,"23:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
129,0,4,"11:00:00",4,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
130,0,5,"11:00:00",5,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
131,0,6,"00:00:00",6,"01:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
132,0,6,"11:00:00",6,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
133,0,7,"00:00:00",7,"01:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
134,0,7,"11:00:00",7,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
135,0,1,"14:00:00",1,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
136,0,2,"14:00:00",2,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
137,0,3,"11:00:00",3,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
138,0,4,"11:00:00",4,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
139,0,5,"00:00:00",5,"01:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
140,0,5,"11:00:00",5,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
141,0,6,"00:00:00",6,"02:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
142,0,6,"11:00:00",6,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
143,0,7,"00:00:00",7,"02:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
144,0,7,"14:00:00",7,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
145,0,1,"11:00:00",1,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
146,0,2,"11:00:00",2,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
147,0,3,"11:00:00",3,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
148,0,4,"11:00:00",4,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
149,0,5,"11:00:00",5,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
150,0,6,"11:00:00",6,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
151,0,7,"11:00:00",7,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
152,0,1,"11:00:00",1,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
153,0,2,"00:00:00",2,"01:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
154,0,2,"11:00:00",2,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
155,0,3,"00:00:00",3,"01:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
156,0,3,"11:00:00",3,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
157,0,4,"00:00:00",4,"01:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
158,0,4,"11:00:00",4,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
159,0,5,"00:00:00",5,"01:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
160,0,5,"11:00:00",5,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
161,0,6,"00:00:00",6,"02:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
162,0,6,"11:00:00",6,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
163,0,7,"00:00:00",7,"02:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
164,0,7,"11:00:00",7,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
165,0,1,"12:00:00",1,"21:30:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
166,0,2,"12:00:00",2,"21:30:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
167,0,3,"12:00:00",3,"21:30:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
168,0,4,"12:00:00",4,"21:30:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
169,0,5,"12:00:00",5,"21:30:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
170,0,6,"12:00:00",6,"21:30:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
171,0,7,"12:00:00",7,"19:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
172,0,1,"03:00:00",1,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
173,0,2,"03:00:00",2,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
174,0,3,"03:00:00",3,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
175,0,4,"09:00:00",4,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
176,0,5,"03:00:00",5,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
177,0,6,"03:00:00",6,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
178,0,7,"03:00:00",7,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
179,0,2,"16:00:00",2,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
180,0,3,"16:00:00",3,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
181,0,4,"16:00:00",4,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
182,0,5,"16:00:00",5,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
183,0,6,"16:00:00",6,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
184,0,7,"16:00:00",7,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
185,0,1,"11:30:00",1,"23:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
186,0,2,"11:30:00",2,"23:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
187,0,3,"11:30:00",3,"23:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
188,0,4,"11:30:00",4,"23:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
189,0,5,"11:30:00",5,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
190,0,6,"00:00:00",6,"01:30:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
191,0,6,"11:00:00",6,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
192,0,7,"00:00:00",7,"01:30:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
193,0,7,"11:00:00",7,"23:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
194,0,1,"15:00:00",1,"20:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
195,0,2,"15:00:00",2,"20:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
196,0,3,"15:00:00",3,"20:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
197,0,4,"15:00:00",4,"20:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
198,0,5,"15:00:00",5,"20:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
199,0,6,"15:00:00",6,"20:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
200,0,7,"15:00:00",7,"20:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
201,0,1,"16:00:00",1,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
202,0,2,"11:00:00",2,"14:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
203,0,2,"16:00:00",2,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
204,0,3,"11:00:00",3,"14:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
205,0,3,"16:00:00",3,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
206,0,4,"11:00:00",4,"14:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
