id,suspend_operation,suspended_at,coming_soon,vacation,vacation_start,vacation_stop,suspend_ordering,suspend_ordering_start,suspend_ordering_stop,active,pending
1349,2,,2,2,,,2,,,2,2
1350,2,,2,2,,,2,,,2,2
1351,2,,2,2,,,2,,,2,2
1352,2,,2,2,,,2,,,2,2
1353,2,,2,2,,,2,,,2,2
1354,2,,2,2,,,2,,,2,2
1355,2,,2,2,,,2,,,2,2
1356,2,,2,2,,,2,,,2,2
1357,2,,2,2,,,2,,,2,2
1358,2,,2,2,,,2,,,2,2
1359,2,,2,2,,,2,,,2,2
1360,2,,2,2,,,2,,,2,2
1361,2,,2,2,,,2,,,2,2
1362,2,,2,2,,,2,,,2,2
1363,2,,2,2,,,2,,,2,2
1364,2,,2,2,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,0000-00-00 00:00:00,2,2
1365,2,,2,2,,,2,,,2,2
1366,2,,2,2,,,2,,,2,2
1367,2,,2,2,,,2,,,2,2
1368,2,,2,2,,,2,,,2,2
1369,2,,2,2,,,2,,,2,2
1370,2,,2,2,,,2,,,2,2
1371,2,,2,2,,,2,,,2,2
1372,2,,2,2,,,2,,,2,2
1373,2,,2,2,,,2,,,2,2
1374,2,,2,2,,,2,,,2,2
1375,2,,2,2,,,2,,,2,2
1376,2,,2,2,,,2,,,2,2
1377,2,,2,2,,,2,,,2,2
1378,2,,2,2,,,2,,,2,2
1379,2,,2,2,,,2,,,2,2
1380,2,,2,2,,,2,,,2,2
1381,2,,2,2,,,2,,,2,2
1382,2,,2,2,,,2,,,2,2
1383,2,,2,2,,,2,,,2,2
1384,2,,2,2,,,2,,,2,2
1385,2,,2,2,,,2,,,2,2
1386,2,,2,2,,,2,,,2,2
1387,2,,2,2,,,2,,,2,2
1388,2,,2,2,,,2,,,2,2
1389,2,,2,2,,,2,,,2,2
1390,2,,2,2,,,2,,,2,2
1391,2,,2,2,,,2,,,2,2
1392,2,,2,2,,,2,,,2,2
1393,2,,2,2,,,2,,,2,2
1394,2,,2,2,,,2,,,2,2
1395,2,,2,2,,,2,,,2,2
1396,2,,2,2,,,2,,,2,2
1397,2,,2,2,,,2,,,2,2
1398,2,,2,2,,,2,,,2,2
1399,2,,2,2,,,2,,,2,2
1400,2,,2,2,,,2,,,2,2
1401,2,,2,2,,,2,,,2,2
1402,2,,2,2,,,2,,,2,2
1403,2,,2,2,,,2,,,2,2
1404,2,,2,2,,,2,,,2,2
1405,2,,2,2,,,2,,,2,2
1406,2,,2,2,,,2,,,2,2
1407,2,,2,2,,,2,,,2,2
1408,2,,2,2,,,2,,,2,2
1409,2,,2,2,,,2,,,2,2
1410,2,,2,2,,,2,,,2,2
1411,2,,2,2,,,2,,,2,2
1412,2,,2,2,,,2,,,2,2
1413,2,,2,2,,,2,,,2,2
1414,2,,2,2,,,2,,,2,2
1415,2,,2,2,,,2,,,2,2
1416,2,,2,2,,,2,,,2,2
1417,2,,2,2,,,2,,,2,2
1418,2,,2,2,,,2,,,2,2
1419,2,,2,2,,,2,,,2,2
1420,2,,2,2,,,2,,,2,2
1421,2,,2,2,,,2,,,2,2
1422,2,,2,2,,,2,,,2,2
1423,2,,2,2,,,2,,,2,2
1424,2,,2,2,,,2,,,2,2
1425,2,,2,2,,,2,,,2,2
1426,2,,2,2,,,2,,,2,2
1427,2,,2,2,,,2,,,2,2
1428,2,,2,2,,,2,,,2,2
1429,2,,2,2,,,2,,,2,2
1430,2,,2,2,,,2,,,2,2
1431,2,,2,2,,,2,,,2,2
1432,2,,2,2,,,2,,,2,2
1433,2,,2,2,,,2,,,2,2
1434,2,,2,2,,,2,,,2,2
1435,2,,2,2,,,2,,,2,2
1436,2,,2,2,,,2,,,2,2
1437,2,,2,2,,,2,,,2,2
1438,2,,2,2,,,2,,,2,2
1439,2,,2,2,,,2,,,2,2
1440,2,,2,2,,,2,,,2,2
1441,2,,2,2,,,2,,,2,2
1442,2,,2,2,,,2,,,2,2
1443,2,,2,2,,,2,,,2,2
1444,2,,2,2,,,2,,,2,2
1445,2,,2,2,,,2,,,2,2
1446,2,,2,2,,,2,,,2,2
1447,2,,2,2,,,2,,,2,2
1448,2,,2,2,,,2,,,2,2
1449,2,,2,2,,,2,,,2,2
1450,2,,2,2,,,2,,,2,2
1451,2,,2,2,,,2,,,2,2
1452,2,,1,2,,,2,,,2,1
1453,2,,2,2,,,2,,,2,2
1454,2,,2,2,,,2,,,2,2
1455,2,,2,2,,,2,,,2,2
1456,2,,2,2,,,2,,,2,2
1457,2,,2,2,,,2,,,2,2
1458,2,,2,2,,,2,,,2,2
1459,2,,2,2,,,2,,,2,2
1460,2,,2,2,,,2,,,2,2
1461,2,,2,2,,,2,,,2,2
1462,2,,2,2,,,2,,,2,2
1463,2,,2,2,,,2,,,2,2
1464,2,,2,2,,,2,,,2,2
1465,2,,2,2,,,2,,,2,2
1466,2,,2,2,,,2,,,2,2
1467,2,,2,2,,,2,,,2,2
1468,2,,2,2,,,2,,,2,2
1469,2,,2,2,,,2,,,2,2
1470,2,,2,2,,,2,,,2,2
1471,2,,2,2,,,2,,,2,2
1472,2,,2,2,,,2,,,2,2
1473,2,,2,2,,,2,,,2,2
1474,2,,2,2,,,2,,,2,2
1475,2,,2,2,,,2,,,2,2
1476,2,,2,2,,,2,,,2,2
1477,2,,2,2,,,2,,,2,2
1478,2,,2,2,,,2,,,2,2
1479,2,,2,2,,,2,,,2,2
1480,2,,2,2,,,2,,,2,2
1481,2,,2,2,,,2,,,2,2
1482,2,,2,2,,,2,,,2,2
1483,2,,2,2,,,2,,,2,2
1484,2,,2,2,,,2,,,2,2
1485,2,,2,2,,,2,,,2,2
1486,2,,2,2,,,2,,,2,2
1487,2,,2,2,,,2,,,2,2
1488,2,,2,2,,,2,,,2,2
1489,2,,2,2,,,2,,,2,2
1490,2,,2,2,,,2,,,2,2
1491,2,,2,2,,,2,,,2,2
1492,2,,2,2,,,2,,,2,2
1493,2,,2,2,,,2,,,2,2
1494,2,,2,2,,,2,,,2,2
1495,2,,2,2,,,2,,,2,2
1496,2,,2,2,,,2,,,2,2
1497,2,,2,2,,,2,,,2,2
1498,2,,2,2,,,2,,,2,2
1499,2,,2,2,,,2,,,2,2
1500,2,,2,2,,,2,,,2,2
1501,2,,2,2,,,2,,,2,2
1502,2,,2,2,,,2,,,2,2
1503,2,,2,2,,,2,,,2,2
1504,2,,2,2,,,2,,,2,2
1505,2,,2,2,,,2,,,2,2
1506,2,,2,2,,,2,,,2,2
1507,2,,2,2,,,2,,,2,2
1508,2,,2,2,,,2,,,2,2
1509,2,,2,2,,,2,,,2,2
1510,2,,2,2,,,2,,,2,2
1511,2,,1,2,,,2,,,2,1
1512,2,,2,2,,,2,,,2,2
1513,2,,2,2,,,2,,,2,2
1514,2,,2,2,,,2,,,2,2
1515,2,,2,2,,,2,,,2,2
1516,2,,1,2,,,2,,,2,1
1517,2,,2,2,,,2,,,2,2
1518,2,,2,2,,,2,,,2,2
1519,2,,2,2,,,2,,,2,2
1520,2,,2,2,,,2,,,2,2
1521,2,,2,2,,,2,,,2,2
1522,2,,2,2,,,2,,,2,2
1523,2,,2,2,,,2,,,2,2
1524,2,,2,2,,,2,,,2,2
1525,2,,2,2,,,2,,,2,2
1526,2,,2,2,,,2,,,2,2
1527,2,,2,2,,,2,,,2,2
1528,2,,2,2,,,2,,,2,2
1529,2,,2,2,,,2,,,2,2
1530,2,,2,2,,,2,,,2,2
1531,2,,1,2,,,2,,,2,1
1532,2,,2,2,,,2,,,2,2
1533,2,,2,2,,,2,,,2,2
1534,2,,2,2,,,2,,,2,2
1535,2,,2,2,,,2,,,2,2
1536,2,,1,2,,,2,,,2,1
1537,2,,2,2,,,2,,,2,2
1538,2,,2,2,,,2,,,2,2
1539,2,,2,2,,,2,,,2,2
1540,2,,2,2,,,2,,,2,2
1541,2,,2,2,,,2,,,2,2
1542,2,,2,2,,,2,,,2,2
1543,2,,2,2,,,2,,,2,2
1544,2,,2,2,,,2,,,2,2
1545,2,,2,2,,,2,,,2,2
1546,2,,2,2,,,2,,,2,2
1547,2,,2,2,,,2,,,2,2
1548,2,,2,2,,,2,,,2,2
1549,2,,2,2,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,0000-00-00 00:00:00,2,2
1550,2,,2,2,,,2,,,2,2
1551,2,,2,2,,,2,,,2,2
1552,2,,2,2,,,2,,,2,2
1553,2,,2,2,,,2,,,2,2
1554,2,,2,2,,,2,,,2,2
1555,2,,2,2,,,2,,,2,2
1556,2,,2,2,,,2,,,2,2
1557,2,,2,2,,,2,,,2,2
1558,2,,2,2,,,2,,,2,2
1559,2,,2,2,,,2,,,2,2
1560,2,,2,2,,,2,,,2,2
1561,2,,2,2,,,2,,,2,2
1562,2,,2,2,,,2,,,2,2
1563,2,,2,2,,,2,,,2,2
1564,2,,2,2,,,2,,,2,2
1565,2,,2,2,,,2,,,2,2
1566,2,,2,2,,,2,,,2,2
1567,2,,2,2,,,2,,,2,2
1568,2,,2,2,,,2,,,2,2
1569,2,,2,2,,,2,,,2,2
