id,restaurant_id,day_start,time_start,day_stop,time_stop,type,enabled
1722,1654,5,11:00:00,5,22:00:00,t,y
1723,1654,6,13:00:00,6,22:00:00,t,y
1724,1654,7,15:00:00,7,21:00:00,t,y
1725,1639,1,11:00:00,1,21:00:00,t,n
1726,1639,2,11:00:00,2,21:00:00,t,n
1727,1639,3,11:00:00,3,21:00:00,t,n
1728,1639,4,11:00:00,4,22:00:00,t,n
1729,1639,5,11:00:00,5,23:00:00,t,n
1730,1639,6,11:00:00,6,23:00:00,t,n
1731,1639,7,15:00:00,7,21:00:00,t,n
1732,1639,1,11:00:00,1,21:00:00,d,n
1733,1639,2,11:00:00,2,21:00:00,d,n
1734,1639,3,11:00:00,3,21:00:00,d,n
1735,1639,4,11:00:00,4,22:00:00,d,n
1736,1639,5,11:00:00,5,23:00:00,d,n
1737,1639,6,11:00:00,6,23:00:00,d,n
1738,1639,7,15:00:00,7,21:00:00,d,n
1739,1642,2,16:00:00,2,20:30:00,t,n
1740,1642,3,16:00:00,3,20:30:00,t,n
1741,1642,4,11:30:00,4,14:30:00,t,n
1742,1642,4,16:00:00,4,21:00:00,t,n
1743,1642,5,11:30:00,5,14:30:00,t,n
1744,1642,5,16:00:00,5,21:00:00,t,n
1745,1642,6,16:00:00,6,21:00:00,t,n
1746,1642,7,16:00:00,7,21:00:00,t,n
1747,1642,2,16:00:00,2,20:30:00,d,n
1748,1642,3,16:00:00,3,20:30:00,d,n
1749,1642,4,11:30:00,4,14:30:00,d,n
1750,1642,4,16:00:00,4,21:00:00,d,n
1751,1642,5,11:30:00,5,14:30:00,d,n
1752,1642,5,16:00:00,5,21:00:00,d,n
1753,1642,6,16:00:00,6,21:00:00,d,n
1754,1642,7,16:00:00,7,21:00:00,d,n
1755,1666,1,15:00:00,1,21:00:00,t,n
1756,1666,2,11:00:00,2,21:00:00,t,n
1757,1666,3,11:00:00,3,21:00:00,t,n
1758,1666,4,11:00:00,4,21:00:00,t,n
1759,1666,5,11:00:00,5,21:00:00,t,n
1760,1666,6,11:00:00,6,21:00:00,t,n
1761,1666,1,16:00:00,1,21:00:00,d,y
1762,1666,2,16:00:00,2,21:00:00,d,y
1763,1666,3,16:00:00,3,21:00:00,d,y
1764,1666,4,16:00:00,4,21:00:00,d,y
1765,1666,5,16:00:00,5,21:00:00,d,y
1766,1666,6,16:00:00,6,21:00:00,d,y
1767,1639,1,11:00:00,1,21:00:00,t,n
1768,1639,2,11:00:00,2,21:00:00,t,n
1769,1639,3,11:00:00,3,21:00:00,t,n
1770,1639,4,11:00:00,4,22:00:00,t,n
1771,1639,5,11:00:00,5,23:00:00,t,n
1772,1639,6,11:00:00,6,23:00:00,t,n
1773,1639,7,11:00:00,7,21:00:00,t,n
1774,1639,1,11:00:00,1,21:00:00,d,n
1775,1639,2,11:00:00,2,21:00:00,d,n
1776,1639,3,11:00:00,3,21:00:00,d,n
1777,1639,4,11:00:00,4,22:00:00,d,n
1778,1639,5,11:00:00,5,23:00:00,d,n
1779,1639,6,11:00:00,6,23:00:00,d,n
